YOUR_DECISION	exact_literal	review_priority	suggested_decision	adjudication_note	current_master_path	claude_b1_status	chatgpt_candidate	scanner_occurrences	scanner_model_count	representative_parent_bones	representative_hierarchies	representative_models	claude_reason	chatgpt_original_reason	YOUR_NOTES
INCLUDE	Flm-Rig-Breast-L	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	2	2			flame_princess_armor.mdl; flame_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Flm-Rig-Breast-R	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	2	2			flame_princess_armor.mdl; flame_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Flm-Rig-BreastHuge-L1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	2	2			flame_princess_armor.mdl; flame_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	Flm-Rig-BreastHuge-L2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	2	2	parent=Flm-Rig-BreastHuge-L1 model=flame_princess_armor.mdl hits=2/2		flame_princess_armor.mdl; flame_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	Flm-Rig-BreastHuge-R1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	2	2			flame_princess_armor.mdl; flame_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	Flm-Rig-BreastHuge-R2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	2	2	parent=Flm-Rig-BreastHuge-R1 model=flame_princess_armor.mdl hits=2/2		flame_princess_armor.mdl; flame_princess_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	Mar-Rig-Breast-L	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			marceline_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Mar-Rig-Breast-R	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			marceline_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Mar-Rig-BreastHuge-L1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			marceline_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	Mar-Rig-BreastHuge-R1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			marceline_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	PBG-Rig-Breast-L	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			princess_bubblegum_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	PBG-Rig-Breast-R	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			princess_bubblegum_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	PBG-Rig-BreastHuge-L1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			princess_bubblegum_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	PBG-Rig-BreastHuge-L2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1	parent=PBG-Rig-BreastHuge-L1 model=princess_bubblegum_hd.mdl hits=1/1		princess_bubblegum_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	PBG-Rig-BreastHuge-R1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			princess_bubblegum_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	PBG-Rig-BreastHuge-R2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1	parent=PBG-Rig-BreastHuge-R1 model=princess_bubblegum_hd.mdl hits=1/1		princess_bubblegum_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	direct structural sexual/anogenital bone; manually resolved from name/chain evidence	
INCLUDE	pelvis_groin	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Terminal/direct groin-crotch structural control; not the pelvis ancestor itself.	groupFile/Body	HUMAN_REVIEW	YES	6	6			zelda thoris drow.mdl; zelda thoris green.mdl; zelda thoris red.mdl	Literal combines a domain-excluded ancestor term ('pelvis') with a qualifying anatomical term ('groin') in one compound name; occurs across 6 models but no Parent Bone/hierarchy evidence was captured to disambiguate its actual structural role.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Qwn-Rig-Breast-L1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			ice_queen_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Qwn-Rig-Breast-L2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1	parent=Qwn-Rig-Breast-L1 model=ice_queen_hd.mdl hits=1/1		ice_queen_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Qwn-Rig-Breast-R1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1			ice_queen_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
INCLUDE	Qwn-Rig-Breast-R2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	INCLUDE_SEXUAL_BONES	Underlying character breast rig: rooted from spine on HD/body models; armor-specific ArmA bones are separate descendants.	groupFile/Body	EXCLUDE	YES	1	1	parent=Qwn-Rig-Breast-R1 model=ice_queen_hd.mdl hits=1/1		ice_queen_hd.mdl	Character-costume armor-jiggle bone (systematic '<Prefix>-Rig-Breast*'/'<Prefix>-ArmA-Breast*' naming convention shared across multiple Adventure-Time-style armor sets: Flame Princess, Ice Queen, Princess Bubblegum, Marceline, and others) -- this is the armor piece's own physics rig, not the character's own breast anatomy.	explicit sexual/anogenital anatomical BONE name	
	unused breast left adj. 1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=breast left tip model=midnanude.mdl hits=1/1		midnanude.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused breast left adj. 2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=breast left tip model=midnanude.mdl hits=1/1		midnanude.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused breast left adj. 4	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=breast left tip model=midnanude.mdl hits=1/1		midnanude.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused breast left adj. 5	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=breast left tip model=midnanude.mdl hits=1/1		midnanude.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused breast right adj. 1	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=breast right tip model=midnanude.mdl hits=1/1		midnanude.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused breast right adj. 2	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=breast right tip model=midnanude.mdl hits=1/1		midnanude.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused breast right adj. 4	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=breast right tip model=midnanude.mdl hits=1/1		midnanude.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused breast right adj. 5	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=breast right tip model=midnanude.mdl hits=1/1		midnanude.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused genitalslag01	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=genitals base model=ghorbash.mdl hits=1/1		ghorbash.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused genitalslag02	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=genitals 01 model=ghorbash.mdl hits=1/1		ghorbash.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused genitalslag03	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=genitals 02 model=ghorbash.mdl hits=1/1		ghorbash.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused genitalslag04	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=genitals 03 model=ghorbash.mdl hits=1/1		ghorbash.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused genitalslag05	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=genitals 04 model=ghorbash.mdl hits=1/1		ghorbash.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused genitalslag06	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=genitals 05 model=ghorbash.mdl hits=1/1		ghorbash.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
	unused genitalsscrotumlag	HUMAN REVIEW — NONCONSENSUS / MODEL DISAGREEMENT	EXCLUDE	Literal is explicitly marked unused and currently Useless; accessibility taxonomy should not promote deprecated/unused intermediates.	groupFile/Useless	HUMAN_REVIEW	YES	1	1	parent=genitals base model=ghorbash.mdl hits=1/1		ghorbash.mdl	Direct structural child of an accepted breast/genital anatomy chain (confirmed by Parent Bone), but the control's own name is prefixed/labeled 'unused' and it currently sits in groupFile/Useless.	explicit sexual/anogenital anatomical BONE name	
