review_order	ascii_fold	exact_family_members	current_master_paths	human_decision	approved_destination	human_reason	decision_status
30	bip_forearmtwist_l	bip_ForearmTwist_l; bip_forearmTwist_L	bip_ForearmTwist_l -> groupFile/Arms/LeftArm; bip_forearmTwist_L -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
31	bip_forearmtwist_r	bip_ForearmTwist_r; bip_forearmTwist_R	bip_ForearmTwist_r -> groupFile/Arms/RightArm; bip_forearmTwist_R -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
32	bip_knee_twist_l	bip_knee_twist_l; bip_knee_twist_L	bip_knee_twist_l -> groupFile/Legs/LeftLeg; bip_knee_twist_L -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Leg and Foot Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
33	bip_knee_twist_r	bip_knee_twist_r; bip_knee_twist_R	bip_knee_twist_r -> groupFile/Legs/RightLeg; bip_knee_twist_R -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Leg and Foot Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
34	bip_kneetwist_l	bip_KneeTwist_L; bip_kneeTwist_L; bip_kneetwist_L	bip_KneeTwist_L -> groupFile/Legs/LeftLeg; bip_kneeTwist_L -> groupFile/Legs/LeftLeg; bip_kneetwist_L -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	1/3 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Leg and Foot Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
35	bip_kneetwist_r	bip_KneeTwist_R; bip_kneeTwist_R; bip_kneetwist_R	bip_KneeTwist_R -> groupFile/Legs/RightLeg; bip_kneeTwist_R -> groupFile/Legs/RightLeg; bip_kneetwist_R -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	1/3 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Leg and Foot Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
36	bip_lowerarm_l_twist	bip_lowerArm_L_Twist; bip_lowerArm_L_twist	bip_lowerArm_L_Twist -> groupFile/Arms/LeftArm; bip_lowerArm_L_twist -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
37	bip_lowerarm_r_twist	bip_lowerArm_R_Twist; bip_lowerArm_R_twist	bip_lowerArm_R_Twist -> groupFile/Arms/RightArm; bip_lowerArm_R_twist -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
38	bip_lowerarm_twist1_l	Bip_LowerArm_Twist1_L; bip_lowerArm_twist1_l	Bip_LowerArm_Twist1_L -> groupFile/Arms/LeftArm; bip_lowerArm_twist1_l -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
39	bip_lowerarm_twist1_r	Bip_LowerArm_Twist1_R; bip_lowerArm_twist1_r	Bip_LowerArm_Twist1_R -> groupFile/Arms/RightArm; bip_lowerArm_twist1_r -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
40	bip_lowerarm_twist_l	Bip_Lowerarm_Twist_L; bip_lowerArm_Twist_L; bip_lowerarm_twist_l	Bip_Lowerarm_Twist_L -> groupFile/Arms/LeftArm; bip_lowerArm_Twist_L -> groupFile/Arms/LeftArm; bip_lowerarm_twist_l -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/3 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
41	bip_lowerarm_twist_r	Bip_Lowerarm_Twist_R; bip_lowerarm_twist_r	Bip_Lowerarm_Twist_R -> groupFile/Arms/RightArm; bip_lowerarm_twist_r -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
42	bip_upperarm_l_twist	bip_upperArm_L_Twist; bip_upperArm_L_twist	bip_upperArm_L_Twist -> groupFile/Arms/LeftArm; bip_upperArm_L_twist -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
43	bip_upperarm_l_twist1	bip_upperArm_l_twist1; bip_UpperArm_l_twist1	bip_upperArm_l_twist1 -> groupFile/Arms/LeftArm; bip_UpperArm_l_twist1 -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
44	bip_upperarm_l_twist2	bip_upperArm_l_twist2; bip_UpperArm_l_twist2	bip_upperArm_l_twist2 -> groupFile/Arms/LeftArm; bip_UpperArm_l_twist2 -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
45	bip_upperarm_r_twist1	bip_upperArm_r_twist1; bip_UpperArm_r_twist1	bip_upperArm_r_twist1 -> groupFile/Arms/RightArm; bip_UpperArm_r_twist1 -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
46	bip_upperarm_r_twist2	bip_upperArm_r_twist2; bip_UpperArm_r_twist2	bip_upperArm_r_twist2 -> groupFile/Arms/RightArm; bip_UpperArm_r_twist2 -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
47	bip_upperarm_twist1_l	Bip_UpperArm_Twist1_l; bip_UpperArm_twist1_l	Bip_UpperArm_Twist1_l -> groupFile/Arms/LeftArm; bip_UpperArm_twist1_l -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
48	bip_upperarm_twist1_r	Bip_UpperArm_Twist1_R; bip_UpperArm_twist1_r	Bip_UpperArm_Twist1_R -> groupFile/Arms/RightArm; bip_UpperArm_twist1_r -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
49	bip_upperarm_twist2_l	bip_UpperArm_twist2_L; Bip_UpperArm_Twist2_l; bip_UpperArm_twist2_l	bip_UpperArm_twist2_L -> groupFile/Arms/LeftArm; Bip_UpperArm_Twist2_l -> groupFile/Arms/LeftArm; bip_UpperArm_twist2_l -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	2/3 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
50	bip_upperarm_twist2_r	bip_UpperArm_twist2_R; Bip_UpperArm_Twist2_R; bip_UpperArm_twist2_r	bip_UpperArm_twist2_R -> groupFile/Arms/RightArm; Bip_UpperArm_Twist2_R -> groupFile/Arms/RightArm; bip_UpperArm_twist2_r -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	2/3 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
51	bip_upperarm_twist_l	Bip_upperarm_Twist_L; bip_upperArm_Twist_L; bip_upperarm_twist_l	Bip_upperarm_Twist_L -> groupFile/Arms/LeftArm; bip_upperArm_Twist_L -> groupFile/Arms/LeftArm; bip_upperarm_twist_l -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/3 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
52	bip_upperarm_twist_r	Bip_upperarm_Twist_R; bip_upperarm_twist_r	Bip_upperarm_Twist_R -> groupFile/Arms/RightArm; bip_upperarm_twist_r -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
53	forearm_twist.l	ForeArm_Twist.L; forearm_twist.l	ForeArm_Twist.L -> groupFile/Arms/LeftArm; forearm_twist.l -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
54	forearm_twist.r	ForeArm_Twist.R; forearm_twist.r	ForeArm_Twist.R -> groupFile/Arms/RightArm; forearm_twist.r -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
55	forearm_twist_l	forearm_twist_l; Forearm_Twist_L	forearm_twist_l -> groupFile/Arms/LeftArm; Forearm_Twist_L -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
56	forearm_twist_r	forearm_twist_r; Forearm_Twist_R	forearm_twist_r -> groupFile/Arms/RightArm; Forearm_Twist_R -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
57	hlp_knee_l	hlp_Knee_L; hlp_knee_L	hlp_Knee_L -> groupFile/Legs/LeftLeg; hlp_knee_L -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Leg and Foot Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
58	hlp_knee_r	hlp_Knee_R; hlp_knee_R	hlp_Knee_R -> groupFile/Legs/RightLeg; hlp_knee_R -> groupFile/Legs/RightLeg	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Leg and Foot Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
59	hlp_upperarm_l	hlp_upperarm_L; hlp_upperArm_L	hlp_upperarm_L -> groupFile/Arms/LeftArm; hlp_upperArm_L -> groupFile/Arms/LeftArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
60	hlp_upperarm_r	hlp_upperarm_R; hlp_upperArm_R	hlp_upperarm_R -> groupFile/Arms/RightArm; hlp_upperArm_R -> groupFile/Arms/RightArm	HELPERS	groupFile/Helpers	1/2 spelling(s) carry direct Silkworm generic-helper provenance (['groupFile/Correctors and Helpers/Arm and Hand Helper Bones']); unambiguous twist/roll/helper vocabulary; Scanner BONE_SUPPORTED.	HUMAN_APPROVED
61	l_knee_helper	l_knee_helper; L_knee_helper	l_knee_helper -> groupFile/Legs/LeftLeg; L_knee_helper -> groupFile/Legs/LeftLeg	HELPERS	groupFile/Helpers	Secondary skeletal deformation/support control. BONE-supported, no FLEX contradiction, a distinct primary limb structure exists as parent, Silkworm helper provenance agrees, and no stronger primary-anatomy/Correctives/RigHelpers destination wins. Where clothing/accessory child bones (sleeve plate, charm chain, leg bag) descend from the twist/helper bone, the child attachment does not redefine the parent helper bone as Clothing -- the helper/twist control itself remains body-side deformation/support machinery.	HUMAN_APPROVED
