exact_literal	ascii_fold	current_master_path	final_projected_path	provenance	decision_basis	casefold_carryalong	human_review_status
BackTwist_7.L.001	backtwist_7.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_7.R.001	backtwist_7.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_8.L	backtwist_8.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_8.R	backtwist_8.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_8.L.001	backtwist_8.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_8.R.001	backtwist_8.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_9.L	backtwist_9.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_9.R	backtwist_9.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_9.L.001	backtwist_9.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_9.R.001	backtwist_9.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_10.L	backtwist_10.l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_10.R	backtwist_10.r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_10.L.001	backtwist_10.l.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
BackTwist_10.R.001	backtwist_10.r.001	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
belly left ctrl	belly left ctrl	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
belly right ctrl	belly right ctrl	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
belly adj 1	belly adj 1	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
belly adj 2	belly adj 2	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
belly adj 3	belly adj 3	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
belly left ctrly	belly left ctrly	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Belly.jiggle	belly.jiggle	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bendy_wing_lowerarm_l	bendy_wing_lowerarm_l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bendy_wing_lowerarm_r	bendy_wing_lowerarm_r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bendy_wing_upperarm_l	bendy_wing_upperarm_l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bendy_wing_upperarm_r	bendy_wing_upperarm_r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Abmon_0_L	bip_abmon_0_l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Abmon_0_R	bip_abmon_0_r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Abmon_1_L	bip_abmon_1_l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Abmon_1_R	bip_abmon_1_r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Head.031	bip_head.031	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Head.032	bip_head.032	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Head.033	bip_head.033	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Head.034	bip_head.034	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Head.035	bip_head.035	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
Bip_Head.037	bip_head.037	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_hiptwist1_L	bip_hiptwist1_l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_hiptwist1_R	bip_hiptwist1_r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_hiptwist2_L	bip_hiptwist2_l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_hiptwist2_R	bip_hiptwist2_r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_lowerchest	bip_lowerchest	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_neck_01	bip_neck_01	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_neck_bend	bip_neck_bend	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_neck_helper_1_L	bip_neck_helper_1_l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_neck_helper_1_R	bip_neck_helper_1_r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_neck_helper_2_L	bip_neck_helper_2_l	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_neck_helper_2_R	bip_neck_helper_2_r	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_neck_Twist	bip_neck_twist	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_neckTwist	bip_necktwist	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_pelvis twist	bip_pelvis twist	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_0_bend	bip_spine_0_bend	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_0_def	bip_spine_0_def	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_0_twist	bip_spine_0_twist	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_1_bend	bip_spine_1_bend	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_1_def	bip_spine_1_def	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_1_twist	bip_spine_1_twist	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_2_def	bip_spine_2_def	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_2_twist	bip_spine_2_twist	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_bend_0	bip_spine_bend_0	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_bend_1	bip_spine_bend_1	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spine_bend_fix	bip_spine_bend_fix	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spineTwist_0	bip_spinetwist_0	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spineTwist_1	bip_spinetwist_1	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spineTwist_2	bip_spinetwist_2	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spineTwist_3	bip_spinetwist_3	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spineTwist_4	bip_spinetwist_4	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spineTwist_5	bip_spinetwist_5	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
bip_spineTwist_6	bip_spinetwist_6	groupFile/RigHelpers	groupFile/Helpers	CURRENT_RIGHELPERS_CONTAMINATION	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	NO	PREVIOUSLY_SETTLED
