fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
strings 1	strings 1	PARTIAL	"""strings"", numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: clothing drawstrings / instrument strings / physics jiggle strands / puppet strings	bare ambiguous object noun, no owner	P01	516
nipplepoke	NipplePoke	CLEAR	"nipple, ""poke"" state/appearance change"	CLEAR	groupFile/Body Morphs	High		soft tissue with no ordinary skeletal articulation, direction/action word (rule 7, nipple-up precedent)	P01	517
mo3l+mo3r	MO3L+MO3R	OPAQUE	"ungrounded ""MO3"" code, left+right combined"	NOT_APPLICABLE		Low	"""MO3"" has no grounding under rule 23 and no other content in the literal"	ungrounded abbreviation, no other content	P01	518
valvebiped.joint1	ValveBiped.joint1	OPAQUE	generic numbered joint on a generic rig prefix	NOT_APPLICABLE		Low	"ValveBiped is a generic rig prefix (rule 9); ""joint1"" has no functional/regional word"	generic numbered technical joint	P01	519
bip_b_nic_head	bip_B_Nic_Head	CLEAR	head (bip_/B/Nic read as generic prefix and character-name tag)	CLEAR	groupFile/Body	Medium	"""Nic"" not confirmed as a real model/character name"	bare structural head defaults to Body (rule 13); prefix ignored (rule 24)	P01	520
adjust_knuckle_c_r	adjust_knuckle_C_R	CLEAR	right finger knuckle adjuster, variant C	CLEAR	groupFile/Arms/RightArm/RightFingers	High		ordinary finger-knuckle anatomy; adjuster naming is not corrective by itself (rule 4)	P01	521
bip facelipbumploout r	bip facelipbumploout r	PARTIAL	face/lip region control, right side, outward direction	CLEAR	groupFile/Face/Lower Face	Medium	"""bumploout"" is a genuinely undecoded compound token"	lip-region facial control with an undecoded internal token	P01	522
flm-arma-sworda-g	Flm-ArmA-SwordA-G	CLEAR	sword weapon prop, variant A/G	CLEAR	groupFile/Other	High		recognized weapon prop (rule 16)	P01	523
lassimpactextrude1	LAssImpactExtrude1	CLEAR	left buttock impact/extrude deformation, variant 1	CLEAR	groupFile/Body Morphs	High		soft tissue impact/extrude state change, matches R-Ass-Smack precedent	P01	524
shoulder wraps shadow	shoulder wraps SHADOW	CLEAR	"shoulder wrap garment, ""shadow"" qualifier (likely proxy/texture variant)"	CLEAR	groupFile/Clothing	Medium		worn shoulder-wrap accessory	P01	525
wall door a	WALL DOOR A	CLEAR	a door, variant A	CLEAR	groupFile/Other	High		recognized environment/furniture prop (rule 16)	P01	526
rhumb0	rhumb0	OPAQUE	unclear term, numbered 0	NOT_APPLICABLE		Low	"""rhumb"" has no grounding in this context and no other content"	ungrounded term, no other content	P01	527
arm right shoulder adjuster	Arm Right Shoulder Adjuster	CLEAR	right shoulder adjustment control	CLEAR	groupFile/Arms	High		ordinary shoulder adjuster, not corrective by itself (rule 4)	P01	528
fa_temple_right	fa_temple_right	CLEAR	temple (head/face region), right side	CLEAR	groupFile/Face/Upper Face	Medium		"temple is an upper-face/forehead-adjacent region; ""fa_"" read as generic face prefix"	P01	529
vaginagapeheight	VaginaGapeHeight	CLEAR	vaginal gape opening height/state	CLEAR	groupFile/Body Morphs	High		genital soft-tissue opening/state deformation	P01	530
x_shift_6	x_shift_6	CLEAR	a positional shift along the X axis, variant 6 (object unstated)	NEEDS_CONTEXT		Low		generic shift function is clear; owning object is not named	P01	531
bipqwn r finger4	BipQwn R Finger4	CLEAR	"right finger 4 (""Qwn"" read as character/model prefix)"	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit; prefix ignored (rule 24)	P01	532
bip_pigtail_l_3	bip_pigtail_L_3	CLEAR	pigtail hair, left, segment 3	CLEAR	groupFile/Hair	High		ordinary hair control	P01	533
key.black_18	Key.Black_18	CLEAR	numbered slot in the coherent Key.Black keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.Black_N series (rule 23)	P01	534
helper.skin.r_quad	Helper.Skin.R_Quad	CLEAR	right quadriceps (thigh) skin/deformation helper	CLEAR	groupFile/Legs	Medium		"ordinary leg-muscle structural helper; ""helper""/""skin"" alone do not establish Correctives (rules 4-5)"	P01	535
urethrasidepushright	UrethraSidePushRight	CLEAR	urethra region, side push, right	CLEAR	groupFile/Body Morphs	High		genital soft-tissue push/state deformation	P01	536
rachel head nostril right 1	Rachel head nostril right 1	CLEAR	"nostril, right side, segment 1 (""Rachel"" character-name prefix)"	CLEAR	groupFile/Face/Mid Face	High		nostril is a mid-face feature; character-name prefix ignored (rule 24)	P01	537
chain_20	chain_20	PARTIAL	"bare ""chain"", numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: jewelry chain / physics-sim chain / mechanical chain (rule 22 explicit example)	bare ambiguous object noun, no owner	P01	538
leg left ankle ctr	leg left ankle ctr	CLEAR	left ankle control point	CLEAR	groupFile/Legs	High		ordinary ankle anatomy	P01	539
valvebiped.bip01_r_middle04	ValveBiped.Bip01_R_Middle04	CLEAR	right middle finger, segment 4	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger segment, verified RightFingers subpath	P01	540
finger_ring_left_1	finger_ring_left_1	CLEAR	left ring finger, segment 1	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger, verified LeftFingers subpath	P01	541
mila head eyeball left	Mila head eyeball left	CLEAR	"left eyeball (""Mila"" character-name prefix)"	CLEAR	groupFile/Face/Eyes	High		eye anatomy; character-name prefix ignored (rule 24)	P01	542
cloth middle 3	cloth middle 3	CLEAR	generic cloth control, middle region, variant 3	CLEAR	groupFile/Clothing	High		generic cloth control, no garment type needed for CLEAR (rule 22)	P01	543
unused f_r_temple	unused f_r_temple	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P01	544
bow right 1f	bow right 1f	PARTIAL	"a ""bow"", right side, numbered"	NEEDS_CONTEXT		Low	materially different core readings: decorative bow / archery bow / other (rule 22 explicit example)	bare ambiguous object noun, no owner	P01	545
jiggle.tassle_back_1	Jiggle.Tassle_Back_1	CLEAR	tassel accessory, back position, jiggle-physics, variant 1	NEEDS_CONTEXT		Medium		tassel names its theme, not its mount/owner (rule 25)	P01	546
frily_00.r	Frily_00.R	CLEAR	frill/ruffle clothing decoration, right, numbered	CLEAR	groupFile/Clothing	Medium	"""Frily"" read as ""Frilly"""	decorative garment trim	P01	547
key.white_35	Key.White_35	CLEAR	numbered slot in the coherent Key.White keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.White_N series (rule 23)	P01	548
arm left finger 2xx	arm left finger 2xx	CLEAR	"left finger, digit 2 (odd ""xx"" suffix unresolved)"	CLEAR	groupFile/Arms/LeftArm/LeftFingers	Medium	"""xx"" suffix does not resolve to a known qualifier"	explicit left finger digit, verified LeftFingers subpath	P01	549
leg right thigh twist upper 2	leg right thigh twist upper 2	CLEAR	right thigh twist bone, upper, segment 2	CLEAR	groupFile/Legs	High		ordinary twist bone, not corrective by itself (rule 3)	P01	550
bone10	Bone10	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P01	551
handcrystaltilt	HandCrystalTilt	CLEAR	a hand-attached crystal prop being tilted	CLEAR	groupFile/Other	Medium		recognized handheld/attached prop item, hand-childed convention	P01	552
bip_cape_2_r	bip_Cape_2_R	CLEAR	cape garment, right, variant 2	CLEAR	groupFile/Clothing	High		worn garment	P01	553
pantiespullanus	PantiesPullAnus	CLEAR	panties garment feature accommodating the anus region	CLEAR	groupFile/Clothing	Medium		garment named first, anatomical word describes the garment's feature (rule 8, PantsAnalOpen precedent)	P01	554
bip_l_cloth_a	bip_l_cloth_a	CLEAR	generic cloth control, left, variant a	CLEAR	groupFile/Clothing	High		generic cloth control	P01	555
moustache_l_22	Moustache_L_22	CLEAR	moustache facial hair, left, segment 22	CLEAR	groupFile/Hair	High		facial hair control	P01	556
eyes-full-squint	Eyes-Full-Squint	CLEAR	full eye squint expression	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P01	557
bip_l_ear1	bip_l_ear1	CLEAR	left ear, segment 1	CLEAR	groupFile/Face/Ears	High		ordinary ear anatomy	P01	558
tarsalright	TarsalRight	CLEAR	tarsal (ankle/hindfoot bone), right	CLEAR	groupFile/Legs	Medium		ordinary ankle-region skeletal anatomy	P01	559
leg left buttock	leg left buttock	CLEAR	left buttock (structural anatomy)	CLEAR	groupFile/Body	Medium		plain structural anatomy, no shape/state word (rule 6)	P01	560
bone hand	bone hand	CLEAR	generic hand bone	CLEAR	groupFile/Arms	Medium		ordinary hand-structure anatomy, not a specific digit	P01	561
bip01_l_clavicle011	Bip01_L_Clavicle011	CLEAR	left clavicle, numbered sub-bone 011	CLEAR	groupFile/Arms	High		clavicle/shoulder-girdle anatomy, matches bip_collar precedent	P01	562
r_finger3a_00004	r_finger3a_00004	CLEAR	right finger, digit 3, variant a, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P01	563
rc1	RC1	OPAQUE	ungrounded two-letter code plus number	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P01	564
microphone_3	Microphone_3	CLEAR	microphone prop, variant 3	CLEAR	groupFile/Other	High		recognized handheld prop	P01	565
tail_mid_c	tail_mid_c	CLEAR	tail, middle segment, variant c	CLEAR	groupFile/Tail	High		ordinary tail anatomy	P01	566
shellbase	ShellBase	PARTIAL	"a ""shell"" object, base/root attachment"	NEEDS_CONTEXT		Low	materially different core readings: armor shell / ammunition shell / decorative shell / creature shell	bare ambiguous object noun, no owner	P01	567
muscular legs	Muscular Legs	CLEAR	muscular leg appearance/definition	CLEAR	groupFile/Body Morphs	High		explicit appearance/state descriptor on the body, matches TopMuscles precedent	P01	568
crow_2.phalanges2_r	Crow_2.Phalanges2_R	CLEAR	"phalanges (finger/toe bones), right, segment 2 (""Crow_2"" model prefix)"	NEEDS_CONTEXT		Medium	bare phalanges does not establish wing vs. foot ownership on a bird model (rule 18)	phalanges ambiguous between wing and foot on a bird	P01	569
wep_fireselect_left	WEP_FireSelect_Left	CLEAR	weapon fire-select control, left	CLEAR	groupFile/Other	High		recognized weapon part	P01	570
bobcut.rear_right_3_jiggle	Bobcut.Rear_Right_3_jiggle	CLEAR	bob-cut hairstyle, rear right, segment 3, jiggle physics	CLEAR	groupFile/Hair	High		named hairstyle control	P01	571
wep_magazine1	WEP_Magazine1	CLEAR	weapon magazine, variant 1	CLEAR	groupFile/Other	High		recognized weapon part	P01	572
frigate	frigate	CLEAR	a frigate (ship)	CLEAR	groupFile/Other	High		recognized vehicle/environment object (rule 16)	P01	573
arm right elbow ctr1	arm right elbow ctr1	CLEAR	right elbow control point, variant 1	CLEAR	groupFile/Arms	High		ordinary elbow anatomy	P01	574
pplane3	pPlane3	OPAQUE	generic default polygon-plane placeholder name, numbered	NOT_APPLICABLE		Low		generic DCC-default geometry placeholder, no functional/regional word	P01	575
cloth_side_a_2_l	cloth_side_A_2_L	CLEAR	generic cloth control, side A, segment 2, left	CLEAR	groupFile/Clothing	High		generic cloth control	P01	576
leg fix side 90 l	Leg Fix Side 90 L	CLEAR	leg pose-correction fix, side, 90-degree reference, left	CLEAR	groupFile/Correctives	High		"explicit ""fix"" purpose word with angle-driven correction pattern (rule 5)"	P01	577
bip01_l_hand009	Bip01_L_Hand009	CLEAR	left hand, numbered sub-bone 009	CLEAR	groupFile/Arms	High		ordinary hand-structure anatomy	P01	578
l_front_holster_0u_15v	l_front_holster_0u_15v	CLEAR	holster, left, front position	CLEAR	groupFile/Clothing	High		worn-equipment holster default (rule 16)	P01	579
14	14	OPAQUE	bare number, no words at all	NOT_APPLICABLE		Low	a number alone carries no semantic content	no interpretable content	P01	580
lkakato01n	LKakato01N	CLEAR	"left heel control, numbered (""Kakato"" read as Japanese for ""heel"")"	CLEAR	groupFile/Legs	Medium	"""Kakato"" read as a genuine Japanese word, not corroborated by corpus grounding beyond the word itself"	foreign-language anatomical term, not an abbreviation guess	P01	581
bipmar r finger1	BipMar R Finger1	CLEAR	"right finger 1 (thumb) (""Mar"" read as character/model prefix)"	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit; prefix ignored (rule 24)	P01	582
dummy06	Dummy06	OPAQUE	"generic ""dummy"" placeholder, numbered"	NOT_APPLICABLE		Low		generic technical placeholder, no functional/regional word	P01	583
detremote	detremote	OPAQUE	unclear fused compound, no confirmed decomposition	NOT_APPLICABLE		Low	"a plausible ""detonator remote"" reading is not grounded enough to assert"	ungrounded fused compound	P01	584
wep_foregrip_nojiggle_child3	WEP_Foregrip_NoJiggle_Child3	CLEAR	weapon foregrip part, no-jiggle variant, child 3	CLEAR	groupFile/Other	High		recognized weapon part	P01	585
rebootface	RebootFace	CLEAR	face reset/default-pose control	CLEAR	groupFile/Face/Expressions	Medium		whole-face state control	P01	586
leftmasseter	LeftMasseter	CLEAR	masseter (jaw muscle), left	CLEAR	groupFile/Face/Lower Face	High		jaw-region facial anatomy	P01	587
labiaspread	LabiaSpread	CLEAR	labia spread (opening/state deformation)	CLEAR	groupFile/Body Morphs	High		genital soft-tissue state deformation	P01	588
arm right finger knuckle ring	arm right finger knuckle ring	CLEAR	right ring-finger knuckle	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger knuckle, verified RightFingers subpath	P01	589
body-r-pussy-rub	Body-R-Pussy-Rub	CLEAR	genital soft-tissue rub interaction, right	CLEAR	groupFile/Body Morphs	High		genital soft-tissue state/interaction deformation	P01	590
root ground.001	root ground.001	CLEAR	whole-body root/ground reference transform	CLEAR	groupFile/RigBody	High		skeleton root/ground reference, matches bip_origin precedent	P01	591
longear_bone_l_02	longear_bone_l_02	CLEAR	long-ear (creature) bone, left, segment 02	CLEAR	groupFile/Face/Ears	High		species-neutral ear anatomy (rule 18)	P01	592
strings 5	strings 5	PARTIAL	"""strings"", numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: clothing drawstrings / instrument strings / physics jiggle strands / puppet strings	bare ambiguous object noun, no owner	P01	593
object033_003	Object033_003	OPAQUE	generic placeholder object name, no referent	NOT_APPLICABLE		Low		numbered generic placeholder	P01	594
lipnasolabialcrease_r	LipNasolabialCrease_R	CLEAR	nasolabial crease (facial wrinkle), right	CLEAR	groupFile/Face/Mid Face	High		mid-face anatomical feature	P01	595
hips clip adjust	hips clip adjust	CLEAR	hip clipping-correction adjuster	CLEAR	groupFile/Correctives	Medium		explicit clipping-correction purpose (rule 5/section 6 doctrine)	P01	596
hose_12	Hose_12	PARTIAL	"a ""hose"", numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: hosiery/legwear garment / physical hose or tube prop	bare ambiguous object noun, no owner	P01	597
bip_cloth_a_02	bip_cloth_a_02	CLEAR	generic cloth control, variant a, segment 02	CLEAR	groupFile/Clothing	High		generic cloth control	P01	598
footright	FootRight	CLEAR	right foot	CLEAR	groupFile/Legs	High		ordinary foot anatomy, no separate Feet group exists	P01	599
cord12	Cord12	PARTIAL	"a ""cord"", numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: decorative cord accessory / mechanical or electrical cord / physics rope	bare ambiguous object noun, no owner	P01	600
