exact_literal	ascii_fold	provenance	current_master_path	final_master_path	decision_basis	human_review_status	casefold_carryalong	source_artifact
BackTwist_0.L	backtwist_0.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_0.R	backtwist_0.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_0.L.001	backtwist_0.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_0.R.001	backtwist_0.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_1.L	backtwist_1.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_1.R	backtwist_1.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_1.L.001	backtwist_1.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_1.R.001	backtwist_1.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_2.L	backtwist_2.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_2.R	backtwist_2.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_2.L.001	backtwist_2.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_2.R.001	backtwist_2.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_3.L	backtwist_3.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_3.R	backtwist_3.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_3.L.001	backtwist_3.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_3.R.001	backtwist_3.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_4.L	backtwist_4.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_4.R	backtwist_4.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_4.L.001	backtwist_4.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_4.R.001	backtwist_4.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_5.L	backtwist_5.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_5.R	backtwist_5.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_5.L.001	backtwist_5.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_5.R.001	backtwist_5.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_6.L	backtwist_6.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_6.R	backtwist_6.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_6.L.001	backtwist_6.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_6.R.001	backtwist_6.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_7.L	backtwist_7.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_7.R	backtwist_7.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_7.L.001	backtwist_7.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_7.R.001	backtwist_7.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_8.L	backtwist_8.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_8.R	backtwist_8.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_8.L.001	backtwist_8.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_8.R.001	backtwist_8.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_9.L	backtwist_9.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_9.R	backtwist_9.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_9.L.001	backtwist_9.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_9.R.001	backtwist_9.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_10.L	backtwist_10.l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_10.R	backtwist_10.r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_10.L.001	backtwist_10.l.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
BackTwist_10.R.001	backtwist_10.r.001	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
belly left ctrl	belly left ctrl	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
belly right ctrl	belly right ctrl	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
belly adj 1	belly adj 1	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
belly adj 2	belly adj 2	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
belly adj 3	belly adj 3	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
belly left ctrly	belly left ctrly	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Belly.jiggle	belly.jiggle	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
bendy_wing_lowerarm_l	bendy_wing_lowerarm_l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
bendy_wing_lowerarm_r	bendy_wing_lowerarm_r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
bendy_wing_upperarm_l	bendy_wing_upperarm_l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
bendy_wing_upperarm_r	bendy_wing_upperarm_r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Abmon_0_L	bip_abmon_0_l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Abmon_0_R	bip_abmon_0_r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Abmon_1_L	bip_abmon_1_l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Abmon_1_R	bip_abmon_1_r	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Head.031	bip_head.031	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Head.032	bip_head.032	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Head.033	bip_head.033	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Head.034	bip_head.034	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Head.035	bip_head.035	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
Bip_Head.037	bip_head.037	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	groupFile/Helpers	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)	PREVIOUSLY_SETTLED	NO	HELPERS_PASS1G_HUMAN_APPROVED_DESTINATION_CHANGE_SET.tsv
