fold_key	exact_spellings	readability_state	confidence	proposed_destination_if_A	meaning_and_taxonomy_question_if_B	understandable_vs_missing_if_C	opacity_reason_if_D	reasoning
(thicc) legs (metal)	(THICC) Legs (METAL)	C	Low			recognizable word(s) present: ['unknown', 'anatomy'] -- a referent word is present but is outweighed by unclear fragments -- context-dependent		a referent word is present but is outweighed by unclear fragments -- context-dependent
(thicc) legs (pants) 	(THICC) Legs (PANTS) 	C	Low			recognizable word(s) present: ['unknown', 'anatomy'] -- a referent word is present but is outweighed by unclear fragments -- context-dependent		a referent word is present but is outweighed by unclear fragments -- context-dependent
(thicc) legs (shirt)	(THICC) Legs (SHIRT)	B	Medium		referent word(s): ['legs', 'shirt'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
+ boobs	+ Boobs	A	High	groupFile/Body Morphs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
+left_foot_d	+left_foot_D	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
+left_footd	+left_footD	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
+leg_l	+leg_l	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
+leg_r	+leg_r	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
+right_elbow_aux_end	+right_elbow_aux_end	B	Medium		referent word(s): ['elbow'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
+right_footd	+right_footD	A	High	groupFile/Legs				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
- ex	- ex	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
001	001	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
002	002	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
003	003	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
004	004	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
005	005	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
006	006	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
007	007	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
008	008	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
009	009	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
01	01	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
02	02	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
03	03	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
04	04	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
05	05	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
06	06	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
07	07	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
08	08	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
09	09	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
1	1	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
1 left middle finger	1 left middle finger	A	High	groupFile/Arms/*/*Fingers (Left/RightFingers by side marker)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
10	10	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
11	11	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
12	12	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
13	13	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
14	14	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
15	15	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
16	16	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
17	17	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
18	18	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
19	19	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
2	2	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
20	20	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
21	21	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
22	22	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
23	23	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
24	24	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
25	25	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
26	26	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
27	27	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
28	28	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
29	29	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
3	3	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
30	30	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
31	31	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
32	32	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
33	33	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
34	34	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
35	35	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
36	36	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
37	37	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
38	38	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
39	39	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
3rd	3rd	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
3rd_recr	3rd_recr	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
4	4	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
40	40	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
41	41	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
42	42	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
43	43	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
44	44	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
45	45	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
46	46	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
47	47	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
48	48	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
49	49	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
5	5	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
50	50	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
51	51	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
52	52	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
53	53	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
54	54	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
55	55	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
56	56	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
57	57	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
58	58	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
59	59	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
6	6	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
60	60	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
61	61	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
62	62	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
63	63	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
9	9	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
><	><	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
^ open	^ Open	A	High	(no mapped destination -- manual review)				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
^2	^2	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
_00	_00	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
_01	_01	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
_02	_02	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
_03	_03	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
_04	_04	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
_05	_05	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
_57_mesh4	_57_mesh4	B	Medium		referent word(s): ['mesh'] -- recognizable object/prop noun with no body/clothing referent -- taxonomy-scope question (no established Props destination)			recognizable object/prop noun with no body/clothing referent -- taxonomy-scope question (no established Props destination)
_90	_90	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
_91	_91	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
_9mm_mesh2	_9mm_mesh2	B	Medium		referent word(s): ['mesh'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
_body	_Body	A	High	groupFile/Body				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
_left_x_down	_left_x_down	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_left_x_up	_left_x_up	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_left_y_down	_left_y_down	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_left_y_up	_left_y_up	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_left_z_down	_left_z_down	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_left_z_up	_left_z_up	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_right_x_down	_right_x_down	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_right_x_up	_right_x_up	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_right_y_down	_right_y_down	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_right_y_up	_right_y_up	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_right_z_down	_right_z_down	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
_right_z_up	_right_z_up	C	Medium			recognizable word(s) present: [] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
a11	A11	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
a12	A12	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
a13	A13	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
a14	A14	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
a15	A15	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
a16	A16	D	High				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
aa13	AA13	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
aa13_sight	AA13_sight	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
abdbreath	AbdBreath	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
abdomen2	abdomen2	A	High	groupFile/Body				literal decomposes fully into recognizable anatomical/clothing/facial/morph words with no unresolved fragment
absdefine	AbsDefine	B	Medium		referent word(s): ['abs'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
accessories bell jb	accessories bell JB	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
accessories bell root	accessories bell root	C	Low			recognizable word(s) present: ['unknown', 'generic_vague'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
accessories zipper root	accessories zipper root	B	Medium		referent word(s): ['zipper'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
accurate	Accurate	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
ad screen	Ad screen	B	Medium		referent word(s): ['screen'] -- core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment			core referent is clear but literal carries an additional unclear fragment -- needs closer reading before assignment
ad96l	AD96L	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
ad96r	AD96R	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
additions	additions	D	Medium				no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier	no recognizable anatomical, clothing, technical, or generic-English word content found -- opaque identifier
adjust	Adjust	C	Medium			recognizable word(s) present: ['generic_vague'] -- only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them		only generic positional/functional/directional/descriptive English words present (front/back/root/base/adjust/up/down/size/bigger/etc) with no anatomical or object referent to anchor them
adjust_digi_l	adjust_digi_L	C	Low			recognizable word(s) present: ['generic_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
adjust_digi_r	adjust_digi_R	C	Low			recognizable word(s) present: ['generic_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
adjust_elbowcap_l	adjust_elbowcap_L	C	Low			recognizable word(s) present: ['generic_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
adjust_elbowcap_r	adjust_elbowcap_R	C	Low			recognizable word(s) present: ['generic_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
adjust_kneecap_l	adjust_kneecap_L	C	Low			recognizable word(s) present: ['generic_vague', 'unknown'] -- mix of a recognizable generic/technical word and an unclear fragment -- context-dependent		mix of a recognizable generic/technical word and an unclear fragment -- context-dependent
