final_order	exact_literal	ascii_fold	provenance	prior_master_path	human_review_status	casefold_carryalong	decision_basis
11	a_n_back_L	a_n_back_l	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	PREVIOUSLY_SETTLED	NO	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)
12	a_n_headside	a_n_headside	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	PREVIOUSLY_SETTLED	NO	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)
13	a_n_headtop	a_n_headtop	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	PREVIOUSLY_SETTLED	NO	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)
14	Ab-L-Becep	ab-l-becep	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
15	Ab-L-BrochiDn	ab-l-brochidn	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
16	Ab-L-BrochiUp	ab-l-brochiup	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
17	Ab-L-Elbow	ab-l-elbow	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
18	Ab-L-Forearm-Tw0	ab-l-forearm-tw0	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
19	Ab-L-Forearm-Tw1	ab-l-forearm-tw1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
20	Ab-L-Hip	ab-l-hip	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
21	Ab-L-Hip-Reg	ab-l-hip-reg	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
22	Ab-L-Knee	ab-l-knee	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
23	Ab-L-Thigh-Tw0	ab-l-thigh-tw0	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
24	Ab-L-Tricep	ab-l-tricep	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
25	Ab-L-UpperArm-Tw0	ab-l-upperarm-tw0	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
26	Ab-L-UpperArm-Tw1	ab-l-upperarm-tw1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
27	Ab-L-Venter	ab-l-venter	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
28	Ab-NeckSub	ab-necksub	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	PREVIOUSLY_SETTLED	NO	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)
29	Ab-R-Becep	ab-r-becep	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
30	Ab-R-BrochiDn	ab-r-brochidn	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
31	Ab-R-BrochiUp	ab-r-brochiup	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
32	Ab-R-Elbow	ab-r-elbow	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
33	Ab-R-Forearm-Tw0	ab-r-forearm-tw0	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
34	Ab-R-Forearm-Tw1	ab-r-forearm-tw1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
35	Ab-R-Hip	ab-r-hip	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
36	Ab-R-Hip-Reg	ab-r-hip-reg	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
37	Ab-R-Knee	ab-r-knee	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
38	Ab-R-Tricep	ab-r-tricep	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
39	Ab-R-UpperArm-Tw0	ab-r-upperarm-tw0	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
40	Ab-R-UpperArm-Tw1	ab-r-upperarm-tw1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
41	Ab-R-Venter	ab-r-venter	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
42	adj_leg.L	adj_leg.l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
43	adj_leg.R	adj_leg.r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
44	Adjust_Belly	adjust_belly	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	PREVIOUSLY_SETTLED	NO	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)
45	Adjust_Chest	adjust_chest	CURRENT_RIGHELPERS_CONTAMINATION	groupFile/RigHelpers	PREVIOUSLY_SETTLED	NO	Pass 1C/1D/1E/1F settled decision (RigHelpers contamination repair)
46	Adjust_Clavicle.L	adjust_clavicle.l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
47	Adjust_Clavicle.L.1	adjust_clavicle.l.1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
48	Adjust_Clavicle.L.2	adjust_clavicle.l.2	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
49	Adjust_Clavicle.L.3	adjust_clavicle.l.3	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
50	Adjust_Clavicle.L.4	adjust_clavicle.l.4	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
51	Adjust_Clavicle.L.5	adjust_clavicle.l.5	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
52	Adjust_Clavicle.L.6	adjust_clavicle.l.6	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
53	Adjust_Clavicle.L.8	adjust_clavicle.l.8	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
54	Adjust_Clavicle.L.9	adjust_clavicle.l.9	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
55	Adjust_Clavicle.R	adjust_clavicle.r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
56	Adjust_Clavicle.R.1	adjust_clavicle.r.1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
57	Adjust_Clavicle.R.2	adjust_clavicle.r.2	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
58	Adjust_Clavicle.R.3	adjust_clavicle.r.3	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
59	Adjust_Clavicle.R.4	adjust_clavicle.r.4	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
60	Adjust_Clavicle.R.5	adjust_clavicle.r.5	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
61	Adjust_Clavicle.R.6	adjust_clavicle.r.6	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
62	Adjust_Clavicle.R.8	adjust_clavicle.r.8	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
63	Adjust_Clavicle.R.9	adjust_clavicle.r.9	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
64	Adjust_Elbow.L	adjust_elbow.l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
65	Adjust_Elbow.L.1	adjust_elbow.l.1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/LeftArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/LeftArm); no contrary"
66	Adjust_Elbow.R	adjust_elbow.r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
67	Adjust_Elbow.R.1	adjust_elbow.r.1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Arms/RightArm	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Arm and Hand Helper Bones), currently in broad/unspecific destination ""Arms"" (groupFile/Arms/RightArm); no contrar"
68	Adjust_Knee.L	adjust_knee.l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
69	Adjust_Knee.L.1	adjust_knee.l.1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
70	Adjust_Knee.L.2	adjust_knee.l.2	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
71	Adjust_Knee.L.3	adjust_knee.l.3	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
72	Adjust_Knee.L.4	adjust_knee.l.4	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
73	Adjust_Knee.L.5	adjust_knee.l.5	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
74	Adjust_Knee.R	adjust_knee.r	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
75	Adjust_Knee.R.1	adjust_knee.r.1	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
76	Adjust_Knee.R.2	adjust_knee.r.2	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
77	Adjust_Knee.R.3	adjust_knee.r.3	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
78	Adjust_Knee.R.4	adjust_knee.r.4	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
79	Adjust_Knee.R.5	adjust_knee.r.5	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/RightLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/RightLeg); no contrar"
80	Adjust_Knee_Slider.L	adjust_knee_slider.l	OUTSIDE_RIGHELPERS_GENERIC	groupFile/Legs/LeftLeg	PREVIOUSLY_SETTLED	NO	"Pass 1F automated classification: MOVE_TO_HELPERS -- Silkworm generic-helper provenance (Leg and Foot Helper Bones), currently in broad/unspecific destination ""Legs"" (groupFile/Legs/LeftLeg); no contrary"
