fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
valvebiped.bip01_r_pinkie	ValveBiped.Bip01_R_Pinkie	CLEAR	right pinky finger	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P03	736
dec_gen_wagon_caravan_b_mesh	DEC_GEN_Wagon_Caravan_B_Mesh	CLEAR	a wagon/caravan, variant B	CLEAR	groupFile/Other	High		recognized vehicle prop; generator-style prefix does not affect destination (rule 17)	P03	737
wrinkles-5	wrinkles-5	CLEAR	wrinkles, variant 5	CLEAR	groupFile/Body Morphs	High		explicit appearance-state term	P03	738
hand finger right 1b	hand finger right 1b	CLEAR	right finger, digit 1 (thumb), variant b	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P03	739
i4	I4	OPAQUE	ungrounded two-character code	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P03	740
forearm.l.001	forearm.L.001	CLEAR	left forearm, numbered	CLEAR	groupFile/Arms	High		ordinary arm anatomy	P03	741
genitals_outer_front_left	Genitals_Outer_Front_Left	CLEAR	genitals (structural anatomy), outer front, left	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P03	742
bone028	Bone028	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P03	743
midbrows_down_l	midbrows_down_l	CLEAR	mid-brow, downward, left	CLEAR	groupFile/Face/Upper Face	High		ordinary eyebrow expression control	P03	744
bip_tail_a_05	bip_tail_a_05	CLEAR	tail, variant a, segment 05	CLEAR	groupFile/Tail	High		ordinary tail anatomy	P03	745
scrotumroot	scrotumROOT	CLEAR	scrotum root/base (structural anatomy)	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P03	746
bone024	Bone024	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P03	747
dec_dungeon_shartemple_carpet_rectangle_b_mesh	DEC_Dungeon_SharTemple_Carpet_Rectangle_B_Mesh	CLEAR	a carpet, rectangular, variant B	CLEAR	groupFile/Other	High		recognized environment/furniture prop; generator-style prefix does not affect destination (rule 17)	P03	748
bone.005	Bone.005	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P03	749
maid.bow_right_lower_1	Maid.Bow_Right_Lower_1	CLEAR	decorative bow, right, lower, variant 1, maid-costume context	CLEAR	groupFile/Clothing	Medium		"""Maid"" costume context grounds this as a decorative garment bow, not archery/ship's bow"	P03	750
bow left b 2	bow left b 2	PARTIAL	"a ""bow,"" left, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: decorative bow / archery bow / other (rule 22 explicit example)	bare ambiguous object noun, no owner	P03	751
eye left focused	eye Left Focused	CLEAR	focused-gaze eye expression, left	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P03	752
rope_6	Rope_6	CLEAR	a rope, variant 6	NEEDS_CONTEXT		Low		rope is a stable object; worn/restraint vs. handheld/prop ownership unclear	P03	753
r_upper_leg_twist_a_helper	r_upper_leg_twist_a_helper	CLEAR	right upper-leg twist helper	CLEAR	groupFile/Legs	High		ordinary twist/helper anatomy, not corrective by itself (rules 3-4)	P03	754
valvebiped.hip_l_ulna	ValveBiped.Hip_L_Ulna	CLEAR	ulna (forearm bone), left	CLEAR	groupFile/Arms	Medium	"literal names ulna despite an incongruous ""hip_"" qualifier; classified by the clear anatomical term present"	forearm anatomy	P03	755
eyes-look-left	eyes-look-left	CLEAR	eye gaze direction, left	CLEAR	groupFile/Face/Eyes	High		ordinary eye control	P03	756
butt armor right	butt armor right	CLEAR	buttock armor, right	CLEAR	groupFile/Clothing	High		worn protective equipment	P03	757
facial_bone_uprlip	Facial_Bone_UprLip	CLEAR	facial bone, upper lip	CLEAR	groupFile/Face/Lower Face	High		lip-region facial anatomy	P03	758
bone_lefthipbuffer	bone_LeftHipbuffer	CLEAR	left hip buffer/spacing bone	CLEAR	groupFile/Legs	Medium		ordinary hip-region structural helper, not corrective by itself (rule 4)	P03	759
bip01_l_toe4	Bip01_L_Toe4	CLEAR	left toe, digit 4	CLEAR	groupFile/Toes/LeftToes	High		explicit left toe digit, verified LeftToes subpath	P03	760
wep_gl_sight	WEP_GL_Sight	CLEAR	weapon grenade-launcher sight	CLEAR	groupFile/Other	High		recognized weapon part	P03	761
beltcontrol.009	BeltControl.009	CLEAR	belt garment control, variant 009	CLEAR	groupFile/Clothing	High		worn garment	P03	762
bip01_l_upperarm002	Bip01_L_UpperArm002	CLEAR	left upper arm, numbered sub-bone 002	CLEAR	groupFile/Arms	High		ordinary arm anatomy	P03	763
key.black_37	Key.Black_37	CLEAR	numbered slot in the coherent Key.Black keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.Black_N series (rule 23)	P03	764
bip01_l_clavicle013	Bip01_L_Clavicle013	CLEAR	left clavicle, numbered sub-bone 013	CLEAR	groupFile/Arms	High		clavicle/shoulder-girdle anatomy	P03	765
r zygoma	R Zygoma	CLEAR	zygoma (cheekbone), right	CLEAR	groupFile/Face/Mid Face	High		mid-face structural anatomy	P03	766
head eyefold left 2	head eyefold left 2	CLEAR	eyefold (eyelid fold), left, segment 2	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid anatomy	P03	767
gun_1_l	gun_1_L	CLEAR	a gun, left, variant 1	CLEAR	groupFile/Other	High		recognized weapon prop	P03	768
c_arr_a00	C_ARR_A00	OPAQUE	ungrounded code	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P03	769
bip_pussyroot_l	bip_PussyRoot_L	CLEAR	vaginal root (structural anatomy), left	CLEAR	groupFile/Body	High		plain structural genital anatomy	P03	770
leg left boot tassle 2a	leg left boot tassle 2a	CLEAR	boot tassel, left leg, variant 2a	CLEAR	groupFile/Clothing	High		explicit garment owner (boot) named (rule 25)	P03	771
wep_fx_laser2	WEP_FX_Laser2	CLEAR	weapon laser FX, variant 2	CLEAR	groupFile/Other	High		recognized weapon part	P03	772
narroww	narroww	OPAQUE	bare shape adjective, no object/body-part named	NOT_APPLICABLE		Low		no anchor object for the shape term	P03	773
tenta_10_l	tenta_10_L	CLEAR	tentacle, left, segment 10	CLEAR	groupFile/Other	Medium	"""tenta"" read as a truncation of ""tentacle"""	species-neutral tentacle anatomy routes to Other (rule 18)	P03	774
rbrow0	rBrow0	CLEAR	right eyebrow, segment 0	CLEAR	groupFile/Face/Upper Face	High		ordinary eyebrow anatomy	P03	775
lacebustler2	LaceBustler2	CLEAR	lace bustier garment, variant 2	CLEAR	groupFile/Clothing	Medium	"""Bustler"" read as ""Bustier"""	worn garment	P03	776
lipscornersout	LipsCornersOut	CLEAR	lip corners, outward	CLEAR	groupFile/Face/Lower Face	High		identical spelling to confirmed existing Master control	P03	777
l ulip b	L Ulip B	CLEAR	left upper lip, variant B	CLEAR	groupFile/Face/Lower Face	High		"matches the established lip ""u""=upper convention (lipul/lipur precedent)"	P03	778
right thumb 0 spread 1	Right thumb 0 spread 1	CLEAR	right thumb, spread posing, variant 1	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P03	779
pbg-rig-eye-ru	PBG-Rig-Eye-RU	CLEAR	"eye, right, upper (""PBG-Rig"" model/rig prefix)"	CLEAR	groupFile/Face/Eyes	Medium		eye anatomy; prefix ignored (rule 24)	P03	780
bip_tonge	bip_Tonge	CLEAR	tongue	CLEAR	groupFile/Face/Tongue	High	"""Tonge"" read as ""Tongue"""	ordinary tongue anatomy	P03	781
less	less	OPAQUE	generic word, no interpretable referent	NOT_APPLICABLE		Low		no reliable core semantic referent	P03	782
dec_hospital_stand_a_mesh	DEC_Hospital_Stand_A_Mesh	CLEAR	a hospital stand, variant A	CLEAR	groupFile/Other	High		recognized furniture/environment prop; generator-style prefix does not affect destination (rule 17)	P03	783
taurenmale_hd_bone_128	taurenmale_hd_bone_128	OPAQUE	a generic numbered bone in the TaurenMale_HD model/variant series; anatomical region/function unknown	NOT_APPLICABLE		Low	"the numbered suffix carries no anatomical specificity, and ""HD"" is an ungrounded model/variant tag with no confirmed anatomical meaning"	matches the settled TaurenMale_HD family treatment	P03	784
kargathbladefist_bone101	kargathbladefist_Bone101	OPAQUE	"generic numbered bone (""Kargathbladefist"" character-name prefix)"	NOT_APPLICABLE		Low	character-name prefix ignored (rule 24); remainder is a generic numbered bone with no functional/regional word	generic numbered technical bone under a character prefix	P03	785
vaginatop	VaginaTop	CLEAR	vagina, top (positional, structural)	CLEAR	groupFile/Body	Medium		"plain structural anatomy; ""top"" is positional, not a shape/state word (rule 6)"	P03	786
bone140	Bone140	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P03	787
lipstopcurlout	lipstopcurlout	CLEAR	lips top, curl outward	CLEAR	groupFile/Face/Lower Face	High		identical spelling to confirmed existing Master control	P03	788
l_elbow_outer_lower_helper	l_elbow_outer_lower_helper	CLEAR	left elbow helper	CLEAR	groupFile/Arms	High		ordinary elbow anatomy, not corrective by itself (rule 4)	P03	789
muscletightensubtle	MuscleTightenSUBTLE	CLEAR	muscle tightening, subtle degree	CLEAR	groupFile/Body Morphs	High		explicit shape/state descriptor	P03	790
zr68c	zr68c	OPAQUE	ungrounded code	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P03	791
flipoutlefttop	FlipOutLeftTop	CLEAR	"a ""flip out"" function, left-top position (object unstated)"	NEEDS_CONTEXT		Low		generic flip function is clear; owning object/region is not named	P03	792
unusedbone062	unusedbone062	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P03	793
key.white_47	Key.White_47	CLEAR	numbered slot in the coherent Key.White keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.White_N series (rule 23)	P03	794
bip_l_thumb_03	bip_l_thumb_03	CLEAR	left thumb, segment 03	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P03	795
left index finger 1 expansion 1	Left index finger 1 expansion 1	CLEAR	left index finger, expansion variant 1	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		"finger-class content despite ""expansion"" qualifier; not corrective by itself (rule 5)"	P03	796
drowsyl	DrowsyL	CLEAR	drowsy/sleepy eye expression, left	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P03	797
bip hipfront r	bip hipfront r	CLEAR	hip front, right	CLEAR	groupFile/Legs	Medium		ordinary hip-region anatomy	P03	798
valvebiped.bip01_l_index04	ValveBiped.Bip01_L_Index04	CLEAR	left index finger, segment 4	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P03	799
dummy_dec_gen_wagon_caravan_b	Dummy_DEC_GEN_Wagon_Caravan_B	CLEAR	a wagon/caravan dummy/helper, variant B	CLEAR	groupFile/Other	High		matches sibling wagon/caravan prop control	P03	800
