fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
key.white_20	Key.White_20	CLEAR	a white piano/keyboard key prop, numbered	CLEAR	groupFile/Other	High		Matches the established Key.White grounded sibling-series template.	P75	
rm05	RM05	OPAQUE	a bare alphanumeric code	NOT_APPLICABLE		Medium		Matches established 'RM##' bare-code OPAQUE precedent (rm01).	P75	
polysurface2	polySurface2	OPAQUE	a DCC default primitive mesh name	NOT_APPLICABLE		High		Matches settled DCC-default-name boundary.	P75	
r sideburn e phy	r sideburn e phy	CLEAR	a sideburn hair strand, right, variant, physics	CLEAR	groupFile/Hair	High		Sideburn is unambiguous facial hair.	P75	
top_s	Top_S	CLEAR	a garment top, size small	CLEAR	groupFile/Clothing	Medium		'Top' is a recognized worn garment.	P75	
c dteeth	C Dteeth	CLEAR	teeth anatomy (lower, by the D directional convention), variant C	CLEAR	groupFile/Face/Lower Face	Medium		Teeth are unambiguous mouth anatomy, routed to Lower Face regardless of the 'D' prefix's exact meaning.	P75	
muscular torso	Muscular Torso	CLEAR	a muscular body-shape descriptor, torso	CLEAR	groupFile/Body Morphs	High		Explicit muscular/body-type shape descriptor (Rule 12).	P75	
wep_magazine2_bullet1	WEP_Magazine2_Bullet1	CLEAR	a weapon magazine's ammunition round, numbered	CLEAR	groupFile/Other	High		Recognized ammunition object.	P75	
bip_findex03_l	Bip_FIndex03_L	CLEAR	left index finger anatomy, numbered	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit index-finger anatomy.	P75	
car05_controller01	Car05_controller01	CLEAR	a car/vehicle prop controller, numbered	CLEAR	groupFile/Other	Medium		Recognized vehicle object.	P75	
pupils-neutral-r	Pupils-Neutral-R	CLEAR	pupil anatomy, neutral expression state, right	CLEAR	groupFile/Face/Eyes	High		Explicit eye anatomy.	P75	
koshi_d__offset	koshi_d__offset	CLEAR	hip/waist anatomy (Japanese 'koshi'), directional qualifier, offset	CLEAR	groupFile/Body	Medium		'Koshi' is grounded Japanese anatomical terminology for hip/waist/lower-back (Rule 12 foreign-language grounding); central/unsided per Rule 26.	P75	
bip_r_finger_c_02	bip_r_finger_c_02	CLEAR	a right finger, variant C, numbered	CLEAR	groupFile/Arms/RightArm/RightFingers	High		Explicit finger anatomy.	P75	
yes-this-is-the-butt-flex	Yes-This-Is-The-Butt-Flex	CLEAR	a buttock flex/shape control	CLEAR	groupFile/Body Morphs	High		Explicit, self-describing buttock shape control.	P75	
strings 5 jb	strings 5 JB	CLEAR	a decorative 'strings' accessory, numbered, jiggle-bone variant	NEEDS_CONTEXT		Low	no garment/object owner named	Matches established bare unowned decorative-accessory NEEDS_CONTEXT precedent (this ledger).	P75	
unused.040	unused.040	CLEAR	a self-declared unused control	CLEAR	groupFile/Useless	High		Explicit 'unused' declaration.	P75	
valvebiped.bip01_pelvis.026	ValveBiped.Bip01_Pelvis.026	CLEAR	pelvis anatomy, standard biped rig, numbered	CLEAR	groupFile/Body	High		Pelvis is central/unsided anatomy (Rule 26).	P75	
5	5	OPAQUE	a bare number	NOT_APPLICABLE		High		No semantic content.	P75	
creaseright	CreaseRight	CLEAR	a crease appearance/texture control, right	NEEDS_CONTEXT		Low	appearance function clear but no body region/feature named	Matches established 'crease/wrinkle'-style NEEDS_CONTEXT precedent (this ledger).	P75	
bip_stoolclothlower_1_l	bip_StoolClothLower_1_L	CLEAR	a stool's cloth covering, lower section, left, numbered	CLEAR	groupFile/Other	Medium		Matches established stool-cloth furniture-prop precedent (this ledger).	P75	
left_liploin	Left_LipLoIn	CLEAR	lower lip anatomy, inward, left	CLEAR	groupFile/Face/Lower Face	High		Explicit lip anatomy.	P75	
asimpact 1	Asimpact 1	CLEAR	a buttock ('Ass') physics-impact reaction control, numbered	CLEAR	groupFile/Body	Low		'Asimpact' plausibly a truncated 'Ass Impact'; reads as a structural jiggle/impact-reaction function on buttock anatomy.	P75	
boobsie24	boobsie24	CLEAR	breast anatomy (slang), numbered	CLEAR	groupFile/Body Morphs	High		Matches established 'boobsie' breast-shape slang precedent (this ledger).	P75	
outhouse_door001_dm02_01_reference	outhouse_door001_dm02_01_reference	CLEAR	an outhouse door prop, numbered, damage-model stage, reference	CLEAR	groupFile/Other	Medium		Recognized building/prop object (Rule 16).	P75	
leave this on	LEAVE THIS ON	CLEAR	an administrative instruction to keep this control active	NEEDS_CONTEXT		Low	administrative/instructional marker with no describable anatomical or prop content; unclear how such a directive maps to any taxonomy destination	Meaning as an instruction is clear, but it names no anatomical feature, garment, or prop, so no destination can be determined.	P75	
004	004	OPAQUE	a bare number	NOT_APPLICABLE		High		No semantic content.	P75	
eyeblink_left_rotout	eyeBlink_Left_RotOUT	CLEAR	an eye-blink action, left, rotate-out variant	CLEAR	groupFile/Face/Eyes	High		Explicit eye-blink action.	P75	
top_5	Top_5	CLEAR	a garment top, numbered	CLEAR	groupFile/Clothing	Medium		Matches sibling top_s (this batch): recognized worn garment.	P75	
left ring finger 2 grip 2	Left ring finger 2 grip 2	CLEAR	left ring finger anatomy, grip pose variant	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		Explicit ring-finger anatomy.	P75	
very uncensored taki	Very Uncensored Taki	OPAQUE	a character-specific nudity/exposure toggle with no specific body part named ('Taki' character name)	NOT_APPLICABLE		Low		Character-name prefix (Rule 24) set aside; 'very uncensored' describes a vague exposure-level toggle without naming a specific anatomical feature.	P75	
dazel	DazeL	CLEAR	a dazed mental-state expression, left	CLEAR	groupFile/Face/Expressions	Medium		Matches established 'daze' whole-face mood-word precedent (this ledger).	P75	
anus/vag open big dp corr	Anus/Vag Open Big DP Corr	CLEAR	a corrective control for genital open deformation, larger variant	CLEAR	groupFile/Correctives	High		Matches exact sibling precedent 'anus/vag open dp corr' (this ledger); explicit 'Corr' correction language.	P75	
wing_left_2_1	Wing_Left_2_1	CLEAR	wing anatomy, left, numbered	CLEAR	groupFile/Wings	High		Explicit wing anatomy.	P75	
bip01_l_hand017	Bip01_L_Hand017	CLEAR	left hand anatomy, numbered	CLEAR	groupFile/Arms	High		Plain structural hand anatomy.	P75	
car01	car01	CLEAR	a car/vehicle prop, numbered	CLEAR	groupFile/Other	Medium		Recognized vehicle object.	P75	
shell.wall_33	Shell.Wall_33	CLEAR	an environment/structure 'shell wall' segment, numbered	CLEAR	groupFile/Other	High		Matches exact sibling shell.wall template (this ledger).	P75	
ballsspread	BallsSpread	CLEAR	testicle anatomy, spread positional/shape state	CLEAR	groupFile/Body Morphs	Medium		'Spread' is a widened positional/shape state word on genital anatomy, matching the open/close-style state-word precedent.	P75	
rachel bun_2	Rachel bun_2	CLEAR	a hair bun hairstyle, 'Rachel' character/model qualifier, numbered	CLEAR	groupFile/Hair	High		'Bun' is an explicit unambiguous hairstyle term.	P75	
beltcontrol_main	BeltControl_main	CLEAR	a belt garment control, main variant	CLEAR	groupFile/Clothing	High		Explicit worn garment (belt).	P75	
tails6	Tails6	CLEAR	tail anatomy, numbered	CLEAR	groupFile/Tail	High		Explicit tail anatomy.	P75	
bip_eye.l	bip_Eye.L	CLEAR	left eye anatomy	CLEAR	groupFile/Face/Eyes	High		Explicit eye anatomy.	P75	
unused head neck upper attached_jhead head neck upper attached_	unused head neck upper attached_jhead head neck upper attached_	CLEAR	a self-declared unused control referencing head/neck anatomy	CLEAR	groupFile/Useless	High		Explicit 'unused' declaration overrides the anatomical content (Rule 15).	P75	
lc1	LC1	OPAQUE	a bare alphanumeric code	NOT_APPLICABLE		Medium		No grounding for standalone 'LC1'.	P75	
object01	Object01	OPAQUE	a generic placeholder object name	NOT_APPLICABLE		High		Matches established 'Object###' generic-placeholder OPAQUE precedent.	P75	
buttspread.r2	ButtSpread.R2	CLEAR	buttock spread positional/shape state, right, numbered	CLEAR	groupFile/Body Morphs	Medium		Matches the 'spread'-as-state-word precedent (ballsspread, this batch).	P75	
c_lur_a00	C_LUR_A00	OPAQUE	a generic bone with an ungrounded 'lur' code	NOT_APPLICABLE		Medium		No grounding for 'lur'.	P75	
strapon_2	strapon_2	CLEAR	a strap-on prop object, numbered	CLEAR	groupFile/Other	Medium		Recognized specific prop object, not a garment (Rule 16).	P75	
c_dred_r1_01	C_Dred_R1_01	CLEAR	a dreadlock hair strand, right, numbered	CLEAR	groupFile/Hair	Medium		Matches established 'dred' dreadlock-hair abbreviation precedent (this ledger).	P75	
right_liploout	Right_LipLoOut	CLEAR	lower lip anatomy, outward, right	CLEAR	groupFile/Face/Lower Face	High		Explicit lip anatomy.	P75	
leg left calf	leg left calf	CLEAR	left calf anatomy	CLEAR	groupFile/Legs	High		Plain structural calf anatomy.	P75	
l02	L02	OPAQUE	a bare alphanumeric code	NOT_APPLICABLE		Medium		No grounding for standalone 'L02'.	P75	
key 6	Key 6	CLEAR	a piano/keyboard key prop, numbered	CLEAR	groupFile/Other	Medium		Matches the Key.<label> grounded sibling-series template (space-separated variant of the same family).	P75	
head eyefold left 1	head eyefold left 1	CLEAR	the eyefold (eyelid crease), left, numbered	CLEAR	groupFile/Face/Eyes	High		'Eyefold' is a real anatomical term for the eyelid crease; 'head' is a location prefix.	P75	
opt_acs_osage_l14	OPT_acs_osage_l14	OPAQUE	an accessory under an ungrounded 'OPT_acs' prefix with an 'osage' physics-type label, left, numbered	NOT_APPLICABLE		Medium		Matches the settled OPT_acs OPAQUE precedent; 'osage' plausibly a secondary-dynamics physics-simulation label, not an identifiable body part or object.	P75	
wep_topcover_optics	WEP_TopCover_Optics	CLEAR	a weapon top-cover optics mount	CLEAR	groupFile/Other	High		Recognized weapon part.	P75	
slutthin	SlutThin	CLEAR	a body-shape 'thin' descriptor, informal qualifier	CLEAR	groupFile/Body Morphs	Medium		Explicit 'thin' shape descriptor; the informal qualifier doesn't block the clear body-shape reading.	P75	
bodyassassin	BodyAssassin	CLEAR	a named whole-body preset shape variant ('Assassin')	CLEAR	groupFile/Body Morphs	Medium		Reads as a named body-type preset shape, matching the pattern of named body-shape presets (Rule 12).	P75	
v_ss	v_ss	OPAQUE	an ungrounded viewmodel-prefixed 'ss' code	NOT_APPLICABLE		Low		No sufficiently strong corpus evidence resolves 'ss' among competing technical senses (Rule 23d).	P75	
leg right thigh ctr 1	leg right thigh ctr 1	CLEAR	a right thigh control/center point, numbered	CLEAR	groupFile/Legs	Medium		Explicit thigh anatomy; 'ctr' plausibly 'center/controller'.	P75	
wrinkle-1	wrinkle-1	CLEAR	a wrinkle appearance/texture control, numbered	NEEDS_CONTEXT		Low	appearance function clear but no body region/feature named	Matches established 'wrinkle'-style NEEDS_CONTEXT precedent (this ledger).	P75	
nippoke02	NipPoke02	CLEAR	a nipple-poke soft-tissue interaction/deformation state, numbered	CLEAR	groupFile/Body Morphs	Medium		Matches sibling nippokedouble04 precedent (this ledger).	P75	
valvebiped.bip01_r_butt0_jiggleroot	ValveBiped.Bip01_R_Butt0_JiggleRoot	CLEAR	a buttock jiggle-physics root anchor, right, standard biped rig	CLEAR	groupFile/Body	High		Structural jiggle-physics anchor with an explicitly named anatomical owner (buttock).	P75	
browsinnerupright	BrowsInnerUpRight	CLEAR	inner brow raise, right	CLEAR	groupFile/Face/Upper Face	High		Explicit brow anatomy.	P75	
leotoardalt-slideaside	LeotoardAlt-SlideAside	CLEAR	a leotard garment (established 'Leotoard' spelling), alternate variant, slide-aside mechanism	CLEAR	groupFile/Clothing	High		Matches established 'Leotoard' Clothing precedent (this ledger).	P75	
vaginalcanal	VaginalCanal	CLEAR	vaginal canal anatomy	CLEAR	groupFile/Body	High		Explicit genital anatomy.	P75	
front 1	Front 1	OPAQUE	a bare positional label with no owning object	NOT_APPLICABLE		Medium		Matches established 'bare positional label, no owner' OPAQUE precedent.	P75	
cock-retract	cock-retract	CLEAR	penis anatomy, a retract positional/functional state	CLEAR	groupFile/Body	Low		'Retract' reads as a positional/functional state (like in/out) rather than an explicit size/shape descriptor, keeping this at structural Body.	P75	
bobcut.left_2	Bobcut.Left_2	CLEAR	a bob-haircut hair strand, left, numbered	CLEAR	groupFile/Hair	High		'Bobcut' is an unambiguous hairstyle name.	P75	
side_left_9	side_left_9	OPAQUE	a bare positional label with no owning object	NOT_APPLICABLE		Medium		Matches established 'bare positional label, no owner' OPAQUE precedent.	P75	
pcube5	pCube5	OPAQUE	a DCC default primitive mesh name	NOT_APPLICABLE		High		Matches settled DCC-default-name boundary.	P75	
row_chair017	row_chair017	CLEAR	a row-seating chair prop, numbered	CLEAR	groupFile/Other	Medium		Recognized furniture object (Rule 16).	P75	
chassis	chassis	CLEAR	a vehicle/machine chassis frame	CLEAR	groupFile/Other	High		Recognized vehicle/mechanism object.	P75	
dlip_4	DLip_4	CLEAR	a lip-region control (plausibly lower lip), numbered	CLEAR	groupFile/Face/Lower Face	Medium		Matches established r_dlip_b precedent: every Master lip-mechanism hit resolves uniformly to Face/Lower Face.	P75	
ankle_right	ankle_right	CLEAR	right ankle anatomy	CLEAR	groupFile/Legs	High		Explicit ankle anatomy.	P75	
nyotengu head eyeball left	Nyotengu head eyeball left	CLEAR	left eyeball anatomy, 'Nyotengu' character-name prefix, head location prefix	CLEAR	groupFile/Face/Eyes	High		Character-name and 'head' location prefixes set aside (Rule 13/24); explicit eyeball anatomy remains.	P75	
book_m	Book_M	CLEAR	a book prop, variant M	CLEAR	groupFile/Other	Medium		Recognized prop object (Rule 16).	P75	
bikini_string.r	Bikini_String.R	CLEAR	a bikini string/tie, right	CLEAR	groupFile/Clothing	High		Explicit worn garment feature.	P75	
unused_head_neck_upper	unused_head_neck_upper	CLEAR	a self-declared unused control referencing head/neck anatomy	CLEAR	groupFile/Useless	High		Explicit 'unused' declaration overrides the anatomical content (Rule 15).	P75	
bip_knee_r_1	bip_knee_r_1	CLEAR	right knee anatomy, numbered	CLEAR	groupFile/Legs	High		Explicit knee anatomy.	P75	
