fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
collar right 3	collar right 3	CLEAR	"right clavicle/shoulder-girdle rig bone (bare biped ""collar"" convention), variant 3"	CLEAR	groupFile/Arms	High		bare unqualified collar matches the established anatomical collar precedent	P09	1328
topadjust	TopAdjust	PARTIAL	"a ""top"" adjustment, no anchor"	NEEDS_CONTEXT		Low	"the bare word ""top"" is used across materially different senses in this Master with no dominant reading"	bare ambiguous object noun, no owner	P09	1329
qwn-rig-eye-rb	Qwn-Rig-Eye-RB	CLEAR	"eye, right-bottom (""Qwn-Rig"" model/rig prefix)"	CLEAR	groupFile/Face/Eyes	High		eye anatomy; prefix ignored (rule 24)	P09	1330
l_deltoid_helper	l_deltoid_helper	CLEAR	deltoid (shoulder muscle), left, helper	CLEAR	groupFile/Arms	High		ordinary shoulder-muscle anatomy, not corrective by itself (rule 4)	P09	1331
elbowroll r	ELBOWROLL R	CLEAR	elbow roll, right	CLEAR	groupFile/Arms	High		ordinary roll bone, not corrective by itself (rule 3)	P09	1332
v_weapon.left_middle02	v_weapon.Left_Middle02	CLEAR	left middle finger (viewmodel weapon-hand rig)	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P09	1333
fa_low_lid_left_mid	fa_low_lid_left_mid	CLEAR	lower eyelid, left, mid	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid anatomy	P09	1334
key.black_22	Key.Black_22	CLEAR	numbered slot in the coherent Key.Black keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.Black_N series (rule 23)	P09	1335
longear_bone_r_03	longear_bone_r_03	CLEAR	long-ear (creature) bone, right, segment 03	CLEAR	groupFile/Face/Ears	High		species-neutral ear anatomy (rule 18)	P09	1336
knotsmall2	KnotSmall2	CLEAR	decorative knot accessory, small, variant 2, no owner	NEEDS_CONTEXT		Medium		knot names its theme, not its mount/owner (rule 25)	P09	1337
upperlipspush	UpperLipsPush	CLEAR	upper lip push	CLEAR	groupFile/Face/Lower Face	High		ordinary lip expression control	P09	1338
eybrows up	Eybrows up	CLEAR	eyebrows up	CLEAR	groupFile/Face/Upper Face	High	"""Eybrows"" read as ""Eyebrows"""	ordinary eyebrow expression	P09	1339
unused140	unused140	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P09	1340
kublaribiped_penis_r3	KubLariBiped_Penis_R3	CLEAR	"penis (structural anatomy), right, variant 3 (""KubLariBiped"" model prefix)"	CLEAR	groupFile/Body	High		plain structural genital anatomy; prefix ignored (rule 24)	P09	1341
unused head neck lower	unused head neck lower	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P09	1342
shell.wall_10	Shell.Wall_10	CLEAR	a building/architectural shell wall, variant 10	CLEAR	groupFile/Other	Medium		matches the established Shell.Wall pattern	P09	1343
second_arms_l_middle1	Second_Arms_L_Middle1	CLEAR	left middle finger, second arm, segment 1	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		limb count does not change destination (rule 19); verified LeftFingers subpath	P09	1344
bow left c 3	bow left c 3	PARTIAL	"a ""bow,"" left, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: decorative bow / archery bow / other (rule 22 explicit example)	bare ambiguous object noun, no owner	P09	1345
chin_right_2	chin_right_2	CLEAR	chin, right, segment 2	CLEAR	groupFile/Face/Lower Face	High		ordinary chin anatomy	P09	1346
bip01 forearmtwist.l	Bip01 ForearmTwist.L	CLEAR	left forearm twist	CLEAR	groupFile/Arms	High		ordinary twist bone, not corrective by itself (rule 3)	P09	1347
bip_balls1_r	bip_Balls1_r	CLEAR	testicle (structural anatomy), right, numbered	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P09	1348
wheel_2.rotate	Wheel_2.Rotate	CLEAR	a wheel, rotate function, variant 2	CLEAR	groupFile/Other	High		recognized vehicle/mechanism part	P09	1349
spike_01_m	Spike_01_M	CLEAR	spike accessory, variant 01_M, no owner	NEEDS_CONTEXT		Medium		spike names its theme, not its mount/owner (rule 25)	P09	1350
oris06_l	oris06_L	CLEAR	orbicularis-oris mouth-region muscle, left, segment 06	CLEAR	groupFile/Face/Lower Face	Medium	"""oris"" read as the Latin mouth-muscle term (orbicularis oris)"	mouth-region facial anatomy	P09	1351
valvebiped.bip01_l_ear01	ValveBiped.Bip01_L_Ear01	CLEAR	left ear	CLEAR	groupFile/Face/Ears	High		ordinary ear anatomy	P09	1352
head face	head face	CLEAR	"bare face reference (""head"" location prefix)"	CLEAR	groupFile/Face	High		bare structural face defaults to the bare Face group (rule 13/24 pattern)	P09	1353
x_shift_11	x_shift_11	CLEAR	a positional shift along the X axis, variant 11 (object unstated)	NEEDS_CONTEXT		Low		generic shift function is clear; owning object is not named	P09	1354
key.black_36	Key.Black_36	CLEAR	numbered slot in the coherent Key.Black keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.Black_N series (rule 23)	P09	1355
classictopfit	ClassicTopFIT	CLEAR	a classic-fit top garment	CLEAR	groupFile/Clothing	Medium		"""fit"" grounds ""top"" as a garment-fitting control, unlike the bare ambiguous ""top"" cases"	P09	1356
hat-heighten	hat-heighten	CLEAR	"hat garment, ""heighten"" fit"	CLEAR	groupFile/Clothing	High		garment-owned shape/fit control (rule 8)	P09	1357
body-feet-shrink	Body-Feet-Shrink	CLEAR	"feet, ""shrink"" shape/size"	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptor on the body	P09	1358
def-ribcage.b.r	DEF-ribcage.B.R	CLEAR	rib cage (structural anatomy), right, variant B	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P09	1359
weil 01	weil 01	OPAQUE	unclear term, no confirmed decomposition	NOT_APPLICABLE		Low		ungrounded term	P09	1360
car06	car06	CLEAR	a car, variant 06	CLEAR	groupFile/Other	High		recognized vehicle prop (rule 16)	P09	1361
c_dred_c2_01	C_Dred_C2_01	CLEAR	dreadlock hair, variant C2_01	CLEAR	groupFile/Hair	Medium		named hairstyle control, matches C_Dred pattern	P09	1362
right_hip_cancel_end	right_hip_cancel_end	CLEAR	hip counter-rotation rig control, right, end	CLEAR	groupFile/Legs	Medium		technical rig-cancel control on structural anatomy, not a shape/state term	P09	1363
head eyecorner out right	head eyecorner out right	CLEAR	"eye corner, outward, right (""head"" location prefix)"	CLEAR	groupFile/Face/Eyes	High		ordinary eye anatomy	P09	1364
mch-eye.l	MCH-eye.L	CLEAR	eye, left	CLEAR	groupFile/Face/Eyes	High		ordinary eye anatomy; MCH- is a generic rig-mechanism prefix (rule 9/17)	P09	1365
bip legtwistbottom l	bip legtwistbottom l	CLEAR	leg twist, bottom, left	CLEAR	groupFile/Legs	High		ordinary twist bone, not corrective by itself (rule 3)	P09	1366
bip_r_horn	bip_r_horn	CLEAR	horn (creature anatomy), right	CLEAR	groupFile/Other	High		species-neutral horn anatomy routes to Other (rule 18)	P09	1367
bobcut.rear_left_1	Bobcut.Rear_Left_1	CLEAR	bob-cut hairstyle, rear left, segment 1	CLEAR	groupFile/Hair	High		named hairstyle control	P09	1368
rightnasolabialbulge	RightNasolabialBulge	CLEAR	nasolabial region bulge, right	CLEAR	groupFile/Body Morphs	Medium		explicit shape/deformation word on a facial soft-tissue region	P09	1369
liptopfoward	LipTopFoward	CLEAR	lip top, forward	CLEAR	groupFile/Face/Lower Face	High	"""Foward"" read as ""Forward"""	identical spelling to confirmed existing Master control	P09	1370
bone 90	bone 90	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P09	1371
pussparent.007	PussParent.007	CLEAR	genital root/parent bone (structural anatomy), numbered	CLEAR	groupFile/Body	Medium	"""puss"" read as ""pussy"""	explicit root/parent designation on plain anatomy stays structural (rule 6)	P09	1372
pplane2	pPlane2	OPAQUE	generic default polygon-plane placeholder name, numbered	NOT_APPLICABLE		Low		generic DCC-default geometry placeholder, no functional/regional word	P09	1373
bone 1068	bone 1068	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P09	1374
ballsack	Ballsack	CLEAR	scrotum (structural anatomy)	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P09	1375
unused b_r_shoulderhelper	unused b_r_shoulderhelper	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P09	1376
rightstrap	RightStrap	CLEAR	strap accessory, right, no owner	NEEDS_CONTEXT		Medium		strap names its theme, not its mount/owner (rule 25)	P09	1377
mlid_r_2	MLid_R_2	CLEAR	eyelid, right, variant 2	CLEAR	groupFile/Face/Eyes	Medium		ordinary eyelid anatomy	P09	1378
jacketbelly	JacketBelly	CLEAR	jacket garment, belly-area fit feature	CLEAR	groupFile/Clothing	High		garment-owned fit feature (rule 8)	P09	1379
unused eft_metacarpal04	unused eft_Metacarpal04	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P09	1380
malepos	MalePos	OPAQUE	a generic gender/position tag, no specific referent	NOT_APPLICABLE		Low		no anchor object beyond a generic tag	P09	1381
l_front_holster_0u_14v	l_front_holster_0u_14v	CLEAR	holster, left, front	CLEAR	groupFile/Clothing	High		worn-equipment holster default (rule 16)	P09	1382
pb_r_cmy01_bhair_4	pb_R_CMY01_BHair_4	CLEAR	back hair, right, segment 4	CLEAR	groupFile/Hair	High		"explicit ""hair"" content grounds this regardless of the other tags"	P09	1383
browmiddle_left_up	browMiddle_Left_Up	CLEAR	mid-eyebrow, left, up	CLEAR	groupFile/Face/Upper Face	High		ordinary eyebrow anatomy	P09	1384
rear b_3	Rear B_3	OPAQUE	pure positional phrase, no object/function named	NOT_APPLICABLE		Low		positional label with no object/function	P09	1385
tenta_b_7_l	tenta_b_7_L	CLEAR	tentacle, variant b, segment 7, left	CLEAR	groupFile/Other	Medium	"""tenta"" read as a truncation of ""tentacle"""	species-neutral tentacle anatomy routes to Other (rule 18)	P09	1386
bone040	Bone040	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P09	1387
palmrukaz	PalmRUkaz	CLEAR	"palm (hand structure) (""Ukaz"" suffix unresolved)"	CLEAR	groupFile/Arms	Medium	"""Ukaz"" suffix does not resolve to a known qualifier"	palm is the stable core reading regardless of the undecoded suffix	P09	1388
arm right shoulder 2 ctr3	arm right shoulder 2 ctr3	CLEAR	right shoulder control, variant 2 ctr3	CLEAR	groupFile/Arms	High		ordinary shoulder anatomy	P09	1389
foot_index_0_r	foot_index_0_R	CLEAR	foot digit (index toe), right, segment 0	CLEAR	groupFile/Toes/RightToes	High		explicit right toe digit, verified RightToes subpath	P09	1390
belt back left b	belt back left b	CLEAR	belt garment, back, left, variant b	CLEAR	groupFile/Clothing	High		worn garment	P09	1391
cloth left 6 jb	cloth left 6 JB	CLEAR	"generic cloth control, left, variant 6 (""JB"" suffix unresolved)"	CLEAR	groupFile/Clothing	Medium	"""JB"" suffix mechanism unresolved"	cloth is the stable core reading regardless of the undecoded suffix	P09	1392
side_left_3	side_left_3	OPAQUE	pure positional phrase, no object/function named	NOT_APPLICABLE		Low		positional label with no object/function	P09	1393
revealshirt	RevealShirt	CLEAR	shirt garment, reveal function	CLEAR	groupFile/Clothing	High		explicit garment name	P09	1394
bip_l_thumb_sub	bip_l_thumb_sub	CLEAR	left thumb, sub-bone	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P09	1395
left middle finger 2 grip 1	Left middle finger 2 grip 1	CLEAR	left middle finger, grip posing, variant 1	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P09	1396
mar-rig-eye-ru	Mar-Rig-Eye-RU	CLEAR	"eye, right-upper (""Mar-Rig"" model/rig prefix)"	CLEAR	groupFile/Face/Eyes	High		eye anatomy; prefix ignored (rule 24)	P09	1397
taurenmale_hd_bone_80	taurenmale_hd_bone_80	OPAQUE	a generic numbered bone in the TaurenMale_HD model/variant series; anatomical region/function unknown	NOT_APPLICABLE		Low	"the numbered suffix carries no anatomical specificity, and ""HD"" is an ungrounded model/variant tag with no confirmed anatomical meaning"	matches the settled TaurenMale_HD family treatment	P09	1398
saucer	saucer	CLEAR	a saucer	CLEAR	groupFile/Other	High		recognized prop	P09	1399
poke09	Poke09	CLEAR	"a ""poke"" function, variant 09 (object unstated)"	NEEDS_CONTEXT		Low		direction/action function is clear; owning object is not named	P09	1400
