origin_population	current_master_path	exact_literal	ascii_fold_key	source_bucket	chatgpt_decision	claude_decision	joint_status	user_decision	final_decision
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack1R	ejack1r	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack2L	ejack2l	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack2R	ejack2r	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack3L	ejack3l	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack3R	ejack3r	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack4L	ejack4l	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack4R	ejack4r	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack5L	ejack5l	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Ejack5R	ejack5r	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra0	furethra0	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra1	furethra1	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra2	furethra2	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra3	furethra3	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra4	furethra4	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra5	furethra5	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra6	furethra6	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra7	furethra7	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra8	furethra8	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FUrethra9	furethra9	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FatterKnot	fatterknot	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FatterLowerKnot	fatterlowerknot	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FatterUpperKnot	fatterupperknot	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FinsFlaredBot	finsflaredbot	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FinsFlaredMid	finsflaredmid	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FinsFlaredTop	finsflaredtop	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FlatBase	flatbase	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	FlatSupp	flatsupp	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Flex SmallerHole	flex smallerhole	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Flex_MID_LARGER	flex_mid_larger	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Flex_TOP_LARGER	flex_top_larger	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Fork01_Bone	fork01_bone	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Fork02_Bone	fork02_bone	groupFile > Body Shape Controls > Special Parts	BONE	BONE	CONSENSUS_BONE		BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Front Sheath	front sheath	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Gen Center Depth Adjust 1	gen center depth adjust 1	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Gen Center Depth Adjust 2	gen center depth adjust 2	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Gen Center Depth Adjust 3	gen center depth adjust 3	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Gen Center Depth Adjust 4	gen center depth adjust 4	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Gen Center Depth Smoother 1	gen center depth smoother 1	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Gen Center Depth Smoother 2	gen center depth smoother 2	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Gen Center Smoother 1	gen center smoother 1	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Gen Center Smoother 2	gen center smoother 2	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Gen Center Width Adjust	gen center width adjust	groupFile > Body Shape Controls > Special Parts	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Genital Innards Size (Scale only)	genital innards size (scale only)	groupFile > Body Shape Controls > Special Parts	FLEX	UNCLEAR	DISAGREEMENT	FLEX	FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Genposition	genposition	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Glans Cleavage	glans cleavage	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Glans Length	glans length	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Glans Pulse	glans pulse	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Glans Scale	glans scale	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Glans Up	glans up	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	GlansBulge	glansbulge	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX		FLEX
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole0	hole0	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole00	hole00	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole01	hole01	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole02	hole02	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole03	hole03	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole04	hole04	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole05	hole05	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole06	hole06	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole07	hole07	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole08	hole08	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole09	hole09	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
SOURCE_ATTESTED_UNTYPED	groupFile/Body Morphs	Hole1	hole1	groupFile > Body Shape Controls > Shared or Ambiguous	FLEX	FLEX	CONSENSUS_FLEX	BONE	BONE
