exact_literal	fold_key	family_size	scanner_occurrence_count	source_model_count	representative_source_models	scanner_lines	literal_length	contains_digits	numeric_suffix	lr_marker	separator_structure	very_short	repeated_internal_token	technical_marker_tokens	leading_token_heuristic
06	06	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	415	2	True	True	False	none	True	False		
07	07	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	416	2	True	True	False	none	True	False		
08	08	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	462	2	True	True	False	none	True	False		
09	09	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	541	2	True	True	False	none	True	False		
1	1	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9450	1	True	True	False	none	True	False		
1 left middle finger	1 left middle finger	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9451	20	True	False	True	space	False	False		
10	10	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	542	2	True	True	False	none	True	False		
11	11	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	543	2	True	True	False	none	True	False		
12	12	1	2	N/A - no per-model provenance in corpus	N/A - see census section 6	544, 9452	2	True	True	False	none	True	False		
13	13	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	629	2	True	True	False	none	True	False		
14	14	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9453	2	True	True	False	none	True	False		
15	15	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9454	2	True	True	False	none	True	False		
16	16	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9455	2	True	True	False	none	True	False		
17	17	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9456	2	True	True	False	none	True	False		
18	18	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9457	2	True	True	False	none	True	False		
19	19	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9458	2	True	True	False	none	True	False		
2	2	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9459	1	True	True	False	none	True	False		
20	20	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9460	2	True	True	False	none	True	False		
21	21	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9461	2	True	True	False	none	True	False		
22	22	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9462	2	True	True	False	none	True	False		
23	23	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9463	2	True	True	False	none	True	False		
24	24	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9464	2	True	True	False	none	True	False		
25	25	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9465	2	True	True	False	none	True	False		
26	26	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9466	2	True	True	False	none	True	False		
27	27	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9467	2	True	True	False	none	True	False		
28	28	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9468	2	True	True	False	none	True	False		
29	29	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9469	2	True	True	False	none	True	False		
3	3	1	2	N/A - no per-model provenance in corpus	N/A - see census section 6	4165, 9470	1	True	True	False	none	True	False		
30	30	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9471	2	True	True	False	none	True	False		
31	31	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9472	2	True	True	False	none	True	False		
32	32	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9473	2	True	True	False	none	True	False		
33	33	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9474	2	True	True	False	none	True	False		
34	34	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9475	2	True	True	False	none	True	False		
35	35	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9476	2	True	True	False	none	True	False		
36	36	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9477	2	True	True	False	none	True	False		
37	37	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9478	2	True	True	False	none	True	False		
38	38	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9479	2	True	True	False	none	True	False		
39	39	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9480	2	True	True	False	none	True	False		
3rd	3rd	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9481	3	True	False	False	none	True	False		
3rd_recr	3rd_recr	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	4166	8	True	False	False	underscore	False	False		
4	4	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9482	1	True	True	False	none	True	False		
40	40	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9483	2	True	True	False	none	True	False		
41	41	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9484	2	True	True	False	none	True	False		
42	42	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9485	2	True	True	False	none	True	False		
43	43	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9486	2	True	True	False	none	True	False		
44	44	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9487	2	True	True	False	none	True	False		
45	45	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9488	2	True	True	False	none	True	False		
46	46	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9489	2	True	True	False	none	True	False		
47	47	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9490	2	True	True	False	none	True	False		
48	48	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9491	2	True	True	False	none	True	False		
49	49	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9492	2	True	True	False	none	True	False		
5	5	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9493	1	True	True	False	none	True	False		
50	50	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9494	2	True	True	False	none	True	False		
51	51	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9495	2	True	True	False	none	True	False		
52	52	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9496	2	True	True	False	none	True	False		
53	53	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9497	2	True	True	False	none	True	False		
54	54	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9498	2	True	True	False	none	True	False		
55	55	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9499	2	True	True	False	none	True	False		
56	56	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9500	2	True	True	False	none	True	False		
57	57	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9501	2	True	True	False	none	True	False		
58	58	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9502	2	True	True	False	none	True	False		
59	59	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9503	2	True	True	False	none	True	False		
6	6	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9504	1	True	True	False	none	True	False		
60	60	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9505	2	True	True	False	none	True	False		
61	61	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9506	2	True	True	False	none	True	False		
62	62	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9507	2	True	True	False	none	True	False		
63	63	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9508	2	True	True	False	none	True	False		
9	9	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9509	1	True	True	False	none	True	False		
><	><	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9510	2	False	False	False	none	True	False		
^ Open	^ open	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20682	6	False	False	False	space	False	False		
^2	^2	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	3418	2	True	True	False	none	True	False		
_00	_00	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	384	3	True	True	False	underscore	True	False		
_01	_01	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	2417	3	True	True	False	underscore	True	False		
_02	_02	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	3419	3	True	True	False	underscore	True	False		
_03	_03	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	6950	3	True	True	False	underscore	True	False		
_04	_04	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20683	3	True	True	False	underscore	True	False		
_05	_05	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20684	3	True	True	False	underscore	True	False		
_57_mesh4	_57_mesh4	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20685	9	True	True	False	underscore	False	False		
_90	_90	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20686	3	True	True	False	underscore	True	False		
_91	_91	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20687	3	True	True	False	underscore	True	False		
_9mm_mesh2	_9mm_mesh2	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20688	10	True	True	False	underscore	False	False		
_Body	_body	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20689	5	False	False	False	underscore	False	False		
_left_x_down	_left_x_down	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20690	12	False	False	True	underscore	False	False		
_left_x_up	_left_x_up	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20691	10	False	False	True	underscore	False	False		
_left_y_down	_left_y_down	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20692	12	False	False	True	underscore	False	False		
_left_y_up	_left_y_up	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20693	10	False	False	True	underscore	False	False		
_left_z_down	_left_z_down	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20694	12	False	False	True	underscore	False	False		
_left_z_up	_left_z_up	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20695	10	False	False	True	underscore	False	False		
_right_x_down	_right_x_down	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20696	13	False	False	True	underscore	False	False		
_right_x_up	_right_x_up	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20697	11	False	False	True	underscore	False	False		
_right_y_down	_right_y_down	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20698	13	False	False	True	underscore	False	False		
_right_y_up	_right_y_up	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20699	11	False	False	True	underscore	False	False		
_right_z_down	_right_z_down	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20700	13	False	False	True	underscore	False	False		
_right_z_up	_right_z_up	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20701	11	False	False	True	underscore	False	False		
A11	a11	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9511	3	True	True	False	none	True	False		A
A12	a12	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9512	3	True	True	False	none	True	False		A
A13	a13	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9513	3	True	True	False	none	True	False		A
A14	a14	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9514	3	True	True	False	none	True	False		A
A15	a15	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9515	3	True	True	False	none	True	False		A
A16	a16	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9516	3	True	True	False	none	True	False		A
AA13	aa13	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9525	4	True	True	False	none	True	False		AA
AA13_sight	aa13_sight	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	4167	10	True	False	False	underscore	False	False		AA
AbdBreath	abdbreath	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9531	9	False	False	False	none	False	False		AbdBreath
abdomen2	abdomen2	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20702	8	True	True	False	none	False	False		abdomen
AbsDefine	absdefine	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9532	9	False	False	False	none	False	False		AbsDefine
accessories bell JB	accessories bell jb	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20704	19	False	False	False	space	False	False		accessories
accessories bell root	accessories bell root	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20705	21	False	False	False	space	False	False	root	accessories
accessories zipper root	accessories zipper root	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20706	23	False	False	False	space	False	False	root	accessories
Accurate	accurate	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9533	8	False	False	False	none	False	False		Accurate
Ad screen	ad screen	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9534	9	False	False	False	space	False	False		Ad
AD96L	ad96l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	4168	5	True	False	True	none	False	False		AD
AD96R	ad96r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	4169	5	True	False	True	none	False	False		AD
additions	additions	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	2418	9	False	False	False	none	False	False		additions
Adjust	adjust	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	4199	6	False	False	False	none	False	False		Adjust
adjust_digi_L	adjust_digi_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20707	13	False	False	True	underscore	False	False		adjust
adjust_digi_R	adjust_digi_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20708	13	False	False	True	underscore	False	False		adjust
adjust_elbowcap_L	adjust_elbowcap_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20709	17	False	False	True	underscore	False	False		adjust
adjust_elbowcap_R	adjust_elbowcap_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20710	17	False	False	True	underscore	False	False		adjust
adjust_kneecap_L	adjust_kneecap_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20711	16	False	False	True	underscore	False	False		adjust
adjust_kneecap_R	adjust_kneecap_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20712	16	False	False	True	underscore	False	False		adjust
adjust_knuckle_A_L	adjust_knuckle_a_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20713	18	False	False	True	underscore	False	False		adjust
adjust_knuckle_A_R	adjust_knuckle_a_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20714	18	False	False	True	underscore	False	False		adjust
adjust_knuckle_B_L	adjust_knuckle_b_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20715	18	False	False	True	underscore	False	False		adjust
adjust_knuckle_B_R	adjust_knuckle_b_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20716	18	False	False	True	underscore	False	False		adjust
adjust_knuckle_C_L	adjust_knuckle_c_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20717	18	False	False	True	underscore	False	False		adjust
adjust_knuckle_C_R	adjust_knuckle_c_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20718	18	False	False	True	underscore	False	False		adjust
adjust_shoulder_L	adjust_shoulder_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20719	17	False	False	True	underscore	False	False		adjust
adjust_shoulder_R	adjust_shoulder_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20720	17	False	False	True	underscore	False	False		adjust
adjust_waist_L	adjust_waist_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20721	14	False	False	True	underscore	False	False		adjust
adjust_waist_R	adjust_waist_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20722	14	False	False	True	underscore	False	False		adjust
adjust_wrist_L	adjust_wrist_l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20723	14	False	False	True	underscore	False	False		adjust
adjust_wrist_R	adjust_wrist_r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20724	14	False	False	True	underscore	False	False		adjust
adrenaline_cap	adrenaline_cap	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	6952	14	False	False	False	underscore	False	False		adrenaline
adrenaline_injectbutton	adrenaline_injectbutton	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20725	23	False	False	False	underscore	False	False		adrenaline
adrenaline_needle	adrenaline_needle	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20726	17	False	False	False	underscore	False	False		adrenaline
adrenaline_wing1	adrenaline_wing1	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20727	16	True	True	False	underscore	False	False		adrenaline
adrenaline_wing2	adrenaline_wing2	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20728	16	True	True	False	underscore	False	False		adrenaline
aerola small	aerola small	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20729	12	False	False	False	space	False	False		aerola
aerola up	aerola up	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20730	9	False	False	False	space	False	False		aerola
aerolaPerk	aerolaperk	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20731	10	False	False	False	none	False	False		aerolaPerk
AEX	aex	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9526	3	False	False	False	none	True	False		AEX
agl bas bindpose	agl bas bindpose	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20732	16	False	False	False	space	False	False		agl
AH01	ah01	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9527	4	True	True	False	none	True	False		AH
AH02	ah02	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9528	4	True	True	False	none	True	False		AH
Ah1	ah1	2	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9537	3	True	True	False	none	True	False		Ah
ah1	ah1	2	1	N/A - no per-model provenance in corpus	N/A - see census section 6	3420	3	True	True	False	none	True	False		ah
ah3	ah3	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	3422	3	True	True	False	none	True	False		ah
AHappy	ahappy	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9529	6	False	False	False	none	False	False		AHappy
Ahoge 1	ahoge 1	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9539	7	True	True	False	space	False	False		Ahoge
Ahoge 2	ahoge 2	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9540	7	True	True	False	space	False	False		Ahoge
AL+AR	al+ar	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	717	5	False	False	False	none	False	False		AL
alarm	alarm	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20733	5	False	False	False	none	False	False		alarm
alertl	alertl	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	326	6	False	False	False	none	False	False		alertl
alertr	alertr	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	327	6	False	False	False	none	False	False		alertr
AlignThin	alignthin	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	269	9	False	False	False	none	False	False		AlignThin
All parents	all parents	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9541	11	False	False	False	space	False	False		All
alligator_reference	alligator_reference	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20734	19	False	False	False	underscore	False	False		alligator
Amazed	amazed	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9542	6	False	False	False	none	False	False		Amazed
Anal_2	anal_2	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	4201	6	True	True	False	underscore	False	False		Anal
AnalCanal	analcanal	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9543	9	False	False	False	none	False	False		AnalCanal
AnalGrip	analgrip	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	4200	8	False	False	False	none	False	False		AnalGrip
AnalHook	analhook	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9544	8	False	False	False	none	False	False		AnalHook
AnalOpenLarge	analopenlarge	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9545	13	False	False	False	none	False	False		AnalOpenLarge
Ang	ang	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9546	3	False	False	False	none	True	False		Ang
angery left	angery left	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20735	11	False	False	True	space	False	False		angery
angery right	angery right	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20736	12	False	False	True	space	False	False		angery
angery1	angery1	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	20737	7	True	True	False	none	False	False		angery
Angry Eyes Left	angry eyes left	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9549	15	False	False	True	space	False	False		Angry
Angry Eyes Right	angry eyes right	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9550	16	False	False	True	space	False	False		Angry
angry_brows_left	angry_brows_left	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	6954	16	False	False	True	underscore	False	False		angry
angry_brows_right	angry_brows_right	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	6955	17	False	False	True	underscore	False	False		angry
Angry_UD	angry_ud	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9556	8	False	False	False	underscore	False	False		Angry
Anime angry  bL	anime angry  bl	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9559	15	False	False	False	space	False	False		Anime
Anime angry  bottom	anime angry  bottom	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9560	19	False	False	False	space	False	False		Anime
Anime angry  L	anime angry  l	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9558	14	False	False	True	space	False	False		Anime
Anime angry bR	anime angry br	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9562	14	False	False	False	space	False	False		Anime
Anime angry R	anime angry r	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9561	13	False	False	True	space	False	False		Anime
ankle_left	ankle_left	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	6958	10	False	False	True	underscore	False	False		ankle
ankle_right	ankle_right	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	6959	11	False	False	True	underscore	False	False		ankle
AnuOpenWedgieExposed	anuopenwedgieexposed	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9567	20	False	False	False	none	False	False		AnuOpenWedgieExposed
AnuOpenWedgieExposedTorn	anuopenwedgieexposedtorn	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9568	24	False	False	False	none	False	False		AnuOpenWedgieExposedTorn
Anus - Pull	anus - pull	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9569	11	False	False	False	hyphen+space	False	False		Anus
Anus - Push	anus - push	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9570	11	False	False	False	hyphen+space	False	False		Anus
Anus Close	anus close	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9571	10	False	False	False	space	False	False		Anus
Anus In	anus in	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	9572	7	False	False	False	space	False	False		Anus
anus-extreme-backward-down	anus-extreme-backward-down	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	662	26	False	False	False	hyphen	False	False		anus
anus-extreme-backward-out	anus-extreme-backward-out	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	663	25	False	False	False	hyphen	False	False		anus
anus-extreme-forward-down	anus-extreme-forward-down	1	1	N/A - no per-model provenance in corpus	N/A - see census section 6	664	25	False	False	False	hyphen	False	False		anus
