fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
tool_hospital_surgery_kit_a_mesh	TOOL_Hospital_Surgery_Kit_A_Mesh	CLEAR	a hospital surgery kit, variant A	CLEAR	groupFile/Other	High		recognized prop; generator-style prefix does not affect destination (rule 17)	P05	952
tailright2_4	TailRight2_4	CLEAR	tail, right, segment 2_4	CLEAR	groupFile/Tail	High		ordinary tail anatomy	P05	953
bip01_r_hand010	Bip01_R_Hand010	CLEAR	right hand, numbered sub-bone 010	CLEAR	groupFile/Arms	High		ordinary hand-structure anatomy	P05	954
r whiskers a phy	r whiskers a phy	CLEAR	whiskers (facial hair), right, physics-sim	CLEAR	groupFile/Hair	Medium		facial hair control	P05	955
canin_pen_5	canin_pen_5	OPAQUE	unclear fused compound, no confirmed decomposition	NOT_APPLICABLE		Low	"a possible ""canine penis"" reading is not grounded enough to assert"	ungrounded compound	P05	956
fronthaircontrol.jigglecontrol	FrontHairControl.JiggleControl	CLEAR	front hair, jiggle-physics control	CLEAR	groupFile/Hair	High		ordinary hair control	P05	957
wep_rail_peq	WEP_Rail_PEQ	CLEAR	weapon accessory rail, laser/illuminator device	CLEAR	groupFile/Other	High		recognized weapon part	P05	958
shirt_chest_all_forward	shirt_chest_all_forward	CLEAR	shirt garment, chest, forward	CLEAR	groupFile/Clothing	High		explicit garment name	P05	959
bone 1020	bone 1020	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	960
level5_south	Level5_South	CLEAR	a level/waypoint reference, south direction	NEEDS_CONTEXT		Low		environment/level reference; no established Master category for a non-character waypoint	P05	961
longear_bone_r_02	longear_bone_r_02	CLEAR	long-ear (creature) bone, right, segment 02	CLEAR	groupFile/Face/Ears	High		species-neutral ear anatomy (rule 18)	P05	962
bip fpinky00 r	bip fpinky00 r	CLEAR	right pinky finger, segment 00	CLEAR	groupFile/Arms/RightArm/RightFingers	High		explicit right finger digit, verified RightFingers subpath	P05	963
brows-r-foward	Brows-R-Foward	CLEAR	eyebrows, right, forward	CLEAR	groupFile/Face/Upper Face	High	"""Foward"" read as ""Forward"""	ordinary eyebrow anatomy	P05	964
skinback	SkinBack+skinback	CLEAR	back skin (structural)	CLEAR	groupFile/Body	Medium		plain structural back/skin control, positional word only (rule 6)	P05	965
bip_belt_r_1	bip_belt_R_1	CLEAR	belt garment, right, variant 1	CLEAR	groupFile/Clothing	High		worn garment	P05	966
jiggle_belt2	jiggle_belt2	CLEAR	belt garment, jiggle-physics, variant 2	CLEAR	groupFile/Clothing	High		explicit garment name (belt)	P05	967
c_bck_b01	C_BCK_B01	OPAQUE	"ungrounded code (""BCK"" not independently grounded)"	NOT_APPLICABLE		Low	"a plausible ""back"" abbreviation reading is not grounded enough under rule 23 on this literal alone"	ungrounded abbreviation	P05	968
rotating	rotating	OPAQUE	a bare state descriptor with no object at all	NOT_APPLICABLE		Low		no anchor object for the state/action term	P05	969
anusright	AnusRight	CLEAR	anus (structural anatomy), right	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P05	970
ballsrsqueshbottom	ballsRsqueshbottom	CLEAR	testicles, right, squash shape, bottom	CLEAR	groupFile/Body Morphs	High	"""squesh"" read as ""squash"""	genital soft-tissue shape deformation	P05	971
_left_z_down	_left_z_down	CLEAR	a downward Z-axis positional function, left (object unstated)	NEEDS_CONTEXT		Low		generic axis function is clear; owning object is not named	P05	972
emptycartridge	EmptyCartridge	CLEAR	an empty/spent weapon cartridge	CLEAR	groupFile/Other	High		recognized weapon/ammunition part	P05	973
bip_tail_d_04	bip_tail_d_04	CLEAR	tail, variant d, segment 04	CLEAR	groupFile/Tail	High		ordinary tail anatomy	P05	974
oboro_f	Oboro_F	OPAQUE	"generic variant tag (""Oboro"" character-name prefix)"	NOT_APPLICABLE		Low	"character-name prefix ignored (rule 24); remainder ""F"" has no functional/regional content"	generic tag under a character prefix	P05	975
bonelow03	BoneLow03	OPAQUE	generic numbered bone with a positional adjective, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	976
squintupleft	SquintUpLeft	CLEAR	eye squint, up, left	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P05	977
top_1	Top_1	PARTIAL	"a ""top,"" numbered, no anchor"	NEEDS_CONTEXT		Low	"the bare word ""top"" is used across materially different senses in this Master (hair, lip, clothing-top, body/muscle) with no dominant reading"	bare ambiguous object/position noun, no owner	P05	978
ph08	PH08	OPAQUE	ungrounded code	NOT_APPLICABLE		Low		ungrounded abbreviation, no other content	P05	979
shaftsmallerinflate	ShaftSmallerInflate	CLEAR	penis shaft, smaller/inflate shape	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptors on genital soft tissue	P05	980
bip_ass2	bip_Ass2	CLEAR	buttock (structural anatomy), numbered	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P05	981
bone 1097	bone 1097	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	982
upperarmtwist2right	UpperArmTwist2Right	CLEAR	upper arm twist, right, numbered	CLEAR	groupFile/Arms	High		ordinary twist bone, not corrective by itself (rule 3)	P05	983
cloth front left 3	cloth front left 3	CLEAR	generic cloth control, front, left, variant 3	CLEAR	groupFile/Clothing	High		generic cloth control	P05	984
sidehair_l_1	sidehair_L_1	CLEAR	side hair, left, segment 1	CLEAR	groupFile/Hair	High		ordinary hair control	P05	985
cylinderreleaselatch	CylinderReleaseLatch	CLEAR	revolver cylinder release latch	CLEAR	groupFile/Other	High		recognized weapon part	P05	986
bip_hs1_r	bip_hs1_R	OPAQUE	ungrounded code, right	NOT_APPLICABLE		Low	"""hs1"" has no grounding and no other content"	ungrounded abbreviation	P05	987
key 9	Key 9	CLEAR	"numbered slot in the space-separated ""Key N"" keyframe/pose-preset series"	NEEDS_CONTEXT		Low		distinct coherent series from Key.<label> (rule 23); which body/preset system it drives is unstated	P05	988
eye-r-furrow-inward	Eye-R-Furrow-Inward	CLEAR	eye furrow, right, inward	CLEAR	groupFile/Face/Eyes	High		ordinary eye-region expression control	P05	989
earring_r_d	Earring_R_D	CLEAR	earring, right, variant d	CLEAR	groupFile/Clothing	High		worn jewelry accessory	P05	990
polysurface209	polySurface209	OPAQUE	generic default polygon-surface placeholder name, numbered	NOT_APPLICABLE		Low		generic DCC-default geometry placeholder, no functional/regional word	P05	991
pupils-sad-l	Pupils-Sad-L	CLEAR	sad pupil/eye expression, left	CLEAR	groupFile/Face/Eyes	High		ordinary eye expression	P05	992
back_lift1	back_lift1	CLEAR	"a ""lift"" function on the back region, variant 1"	NEEDS_CONTEXT		Low		"lift function is clear; body-vs-garment ownership of ""back"" is unresolved"	P05	993
foreskinbigger	ForeskinBigger	CLEAR	"foreskin, ""bigger"" shape/size"	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptor on genital soft tissue	P05	994
bottomlid_l2	bottomlid_L2	CLEAR	bottom eyelid, left, segment 2	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid anatomy	P05	995
chest_b	chest_b	CLEAR	chest (structural anatomy), variant b	CLEAR	groupFile/Body	High		plain structural anatomy, no shape/state word (rule 6)	P05	996
top lift r	Top Lift R	PARTIAL	"a ""top,"" lift function, right"	NEEDS_CONTEXT		Low	"the bare word ""top"" is used across materially different senses in this Master with no dominant reading"	bare ambiguous object noun, no owner	P05	997
bone.017.r	Bone.017.r	OPAQUE	generic numbered bone, side marker only, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	998
bone 74	bone 74	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P05	999
buttplug	buttPlug	CLEAR	a buttplug (recognized object)	CLEAR	groupFile/Other	Medium		recognized adult-content prop item, matches the bip_lube.001 -> Other precedent	P05	1000
