fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	scanner_lines
llid_upper_drop	Llid_upper_drop	CLEAR	a left upper-eyelid drop control	CLEAR	groupFile/Face/Eyes	High		'lid' well-grounded eyelid abbreviation in this corpus (fa_low_lid/fa_up_lid family, 'L bottom lid' same batch); eyelid function -> Eyes	P81	
belt left 02	belt left 02	CLEAR	a left belt garment control, numbered	CLEAR	groupFile/Clothing	High		matches belt_r1/r2/r3/bip_belt_r family, all CLEAR/CLEAR/Clothing	P81	
left thumb distal	Left Thumb Distal	CLEAR	a left thumb distal phalanx bone	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		ordinary individual digit segment; LeftFingers verified to hold substantial side-specific digit content (rule 10)	P81	
top.knot_left_1	Top.Knot_Left_1	CLEAR	a left top-knot hair control, numbered	CLEAR	groupFile/Hair	High		matches Top.Knot_Right_2/Left_3 sibling series, all CLEAR/CLEAR/Hair	P81	
row_chair004	row_chair004	CLEAR	a numbered chair/furniture prop	CLEAR	groupFile/Other	High		matches row_chair002/003/009/011/013/016/018 sibling series, all CLEAR/CLEAR/Other	P81	
body-outfit-shirt	Body-Outfit-Shirt	CLEAR	a shirt garment control	CLEAR	groupFile/Clothing	High		explicit shirt garment name (rule 8)	P81	
rwing09	RWing09	CLEAR	a numbered right-wing control	CLEAR	groupFile/Wings	High		matches RWing02/04/06 sibling series, all CLEAR/CLEAR/Wings	P81	
wing_right_4_1	Wing_Right_4_1	CLEAR	a numbered right wing control, segment 4-1	CLEAR	groupFile/Wings	High		matches Wing_Right_* sibling series, all CLEAR/CLEAR/Wings	P81	
bip_l_thumb_01	bip_l_thumb_01	CLEAR	a left thumb bone, segment 01	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		ordinary individual digit segment, LeftFingers verified subpath (rule 10)	P81	
leg right thigh adj a	leg right thigh adj a	CLEAR	a right thigh adjustment control, variant A	CLEAR	groupFile/Legs	High		matches 'leg left/right thigh adj' sibling series, all CLEAR/CLEAR/Legs	P81	
key.white_14	Key.White_14	CLEAR	a numbered white-key prop, part of the Key.White series	CLEAR	groupFile/Other	High		coherent Key.White_N series (rule 23), matches extensive sibling precedent, all CLEAR/CLEAR/Other	P81	
squintinner_r	SquintInner_R	CLEAR	a right inner-squint eye control	CLEAR	groupFile/Face/Eyes	High		matches squint family (Squint-Right, fa_squint_left_mid/inn, eyes-full-squint), all CLEAR/CLEAR/Face/Eyes	P81	
fa_eyebag_right_out	fa_eyebag_right_out	CLEAR	a right outer eyebag expression control	CLEAR	groupFile/Face/Expressions	High		direct sibling fa_eyebag_left_mid, CLEAR/CLEAR/Face/Expressions	P81	
cape left 4	cape left 4	CLEAR	a left cape garment control, numbered	CLEAR	groupFile/Clothing	High		explicit cape garment name (rule 8)	P81	
valvebiped.bip01_nutguard2	ValveBiped.Bip01_NutGuard2	CLEAR	a worn groin/nut-guard equipment control, numbered	CLEAR	groupFile/Clothing	High		direct sibling ValveBiped.Bip01_NutGuard1, CLEAR/CLEAR/Clothing (worn protective equipment, rule 16)	P81	
lightexpression	LightExpression	CLEAR	a light/subtle whole-face expression preset	CLEAR	groupFile/Face/Expressions	Medium	'Light' qualifier reading (intensity vs. unrelated) is a cosmetic hedge, not a functional gap	'Expression' strongly grounds a whole-face-preset reading with no compounded localized feature (rule 12)	P81	
opt_as_l_wrist_a	OPT_AS_L_Wrist_A	CLEAR	a left wrist control, variant A (OPT_AS namespace prefix set aside)	CLEAR	groupFile/Arms	Medium	OPT_AS prefix meaning not independently confirmed	generic rig/DCC prefix set aside (rule 9); remainder is an ordinary wrist control, no dedicated wrist subgroup exists	P81	
flm-armb-leg-lbd	Flm-ArmB-Leg-LBD	CLEAR	a leg-region rig control in the Flm-ArmB internal namespace, undecoded 3-letter suffix code	NEEDS_CONTEXT		Medium	no exact sibling match for the '-lbd' suffix; family shows a mixed, unresolved pattern between CLEAR/Legs and NEEDS_CONTEXT for similar codes	Flm-ArmB-Leg-* family is inconsistently resolved per exact suffix; 'lbd' has no identical precedent, so the conservative NEEDS_CONTEXT reading is used rather than guessing	P81	
cervixleft	CervixLeft	CLEAR	a bare structural cervix control, left side	CLEAR	groupFile/Body	High		side marker alone, no shape/deformation word -> ordinary structural anatomy (rule 6); contrast cervixup which has a direction word supporting Body Morphs	P81	
wep_stock_ring	WEP_Stock_Ring	CLEAR	a weapon stock ring/hardware part	CLEAR	groupFile/Other	High		matches wep_stock_2/rfi/minimi_hinge/base/folding2 sibling series, all CLEAR/CLEAR/Other	P81	
piercing.belly_button_pendant	Piercing.Belly_Button_Pendant	CLEAR	a belly-button piercing pendant accessory	CLEAR	groupFile/Clothing	High		matches direct sibling Piercing.Belly_Button_Pendant_jiggle, CLEAR/CLEAR/Clothing; explicit body-location anchor names a worn accessory (rule 25)	P81	
bip faceforeheadtop r	bip faceforeheadtop r	CLEAR	a right forehead-top facial control	CLEAR	groupFile/Face/Upper Face	High		forehead is the localized Upper Face mechanism (rule 12)	P81	
fringe 4	fringe 4	CLEAR	a hair fringe (bangs) control, numbered	CLEAR	groupFile/Hair	High		direct live-Master template precedent: bare Fringe0-Fringe10 series (lines ~48125-48145) and bip_fringe/HairFringe*/hair-fringe-left-right-middle families are all confirmed groupFile/Hair with no counter-example; resolves the split seen in some earlier production rows (see consistency flags)	P81	
finger_pinky_left_0	finger_pinky_left_0	CLEAR	a left pinky finger bone, segment 0	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		ordinary individual digit segment, LeftFingers verified subpath (rule 10)	P81	
sheath 2	Sheath 2	CLEAR	a numbered weapon/prop sheath	CLEAR	groupFile/Other	High		matches sibling 'Sheath Fur', CLEAR/CLEAR/Other (recognized prop, rule 16)	P81	
glanslonger	GlansLonger	CLEAR	a glans-lengthening shape control	CLEAR	groupFile/Body Morphs	High		matches direct sibling GlansSmaller, CLEAR/CLEAR/Body Morphs (shape word on soft tissue with no skeletal joint, rule 7)	P81	
asout	Asout	OPAQUE	an ungrounded 'As'+direction-word code, sibling of Asin	NOT_APPLICABLE		High		direct sibling Asin is OPAQUE/NOT_APPLICABLE (ungrounded abbreviation pair, no independent content)	P81	
key.white_27	Key.White_27	CLEAR	a numbered white-key prop, part of the Key.White series	CLEAR	groupFile/Other	High		coherent Key.White_N series (rule 23)	P81	
fin-rig-hat-hood-l	Fin-Rig-Hat-Hood-L	CLEAR	a left hat/hood garment control (Fin-Rig is an internal rig namespace, not the anatomical 'fin' word)	CLEAR	groupFile/Clothing	High		direct sibling Fin-Rig-Hat-Hood-R, CLEAR/CLEAR/Clothing; 'Fin-Rig-' is the namespace-prefix case explicitly distinct from the anatomical fin family (rule 18 caution)	P81	
choker.locket	Choker.Locket	CLEAR	a locket pendant on a choker necklace	CLEAR	groupFile/Clothing	High		matches choker family (flowerchoker1.r, flowerchokerfront, head neck choker), all CLEAR/CLEAR/Clothing	P81	
arm left shoulder 2 ctr 2	arm left shoulder 2 ctr 2	CLEAR	a left shoulder center control, numbered	CLEAR	groupFile/Arms	High		matches the consistent 'ctr' shoulder subfamily (ctr2/ctr3/ctr5), all bare CLEAR/CLEAR/Arms (rule 10 default-to-bare-parent)	P81	
foot_middle_2_l	foot_middle_2_L	CLEAR	a left middle-toe bone, segment 2	CLEAR	groupFile/Toes/LeftToes	High		matches foot_middle_0_r/1_r/2_r sibling series (RightToes); side-appropriate LeftToes subpath	P81	
fingernails1-2	FingerNails1-2	CLEAR	a numbered fingernails control	CLEAR	groupFile/Fingers	High		matches FingerNails/FingerNails2 sibling series, CLEAR/CLEAR/Fingers	P81	
beadhangfrontroot	BeadHangFrontRoot	CLEAR	a hanging-bead decoration root/anchor control, front position	NEEDS_CONTEXT		Medium	BeadHang family is genuinely split between Clothing and Hair destinations with no Master precedent either way and no clean majority	ownerless decorative bead accessory (rule 25); zero live-Master precedent for 'beadhang' in any form, and current ledger sibling destinations are near-evenly split between Clothing/Hair with at least one internally-contradictory precedent citation	P81	
drip_main_2	Drip_Main_2	CLEAR	a drip/fluid-effect control, main variant, numbered	CLEAR	groupFile/Other	Medium	sibling drip_main_1 was classified PARTIAL/NEEDS_CONTEXT without a clearly stated distinguishing reason	fluid/effect-material control, not structural anatomy (rule 7 lube/wetness principle), matching direct sibling drip_main_0	P81	
tailleft1_3	TailLeft1_3	CLEAR	a numbered left tail segment	CLEAR	groupFile/Tail	High		matches extensive TailLeft* sibling series, all CLEAR/CLEAR/Tail	P81	
angry_ud	Angry_UD	CLEAR	a whole-face 'angry' expression preset, up/down axis variant	CLEAR	groupFile/Face/Expressions	Medium	'UD' suffix meaning (up/down) is a cosmetic hedge, not a functional gap	bare whole-emotion word with no compounded facial feature (matches cangry2/anime-angry-bottom pattern), distinct from angry+brows/eye/snout compounds	P81	
bip01 clavicle.l	Bip01 Clavicle.L	CLEAR	a left clavicle bone	CLEAR	groupFile/Arms	High		ordinary shoulder-girdle/arm structural anatomy (rule 6)	P81	
head_b_l	Head_B_L	CLEAR	a left-side structural head control, variant B	CLEAR	groupFile/Body	High		matches direct sibling head_b, CLEAR/CLEAR/Body (bare structural head reference, rule 13)	P81	
waterresidue	WaterResidue	CLEAR	a water/liquid residue effect control	CLEAR	groupFile/Other	High		fluid/effect-material referent, not anatomical shape (rule 7 lube/wetness/fluid principle)	P81	
fa_squint_left_out	fa_squint_left_out	CLEAR	a left outer squint eye control	CLEAR	groupFile/Face/Eyes	High		matches squint family, all CLEAR/CLEAR/Face/Eyes	P81	
bone123	Bone123	OPAQUE	a generic numbered bone with no functional or regional word	NOT_APPLICABLE		High		bare numbered bone, no anatomical/functional content	P81	
bone201	Bone201	OPAQUE	a generic numbered bone with no functional or regional word	NOT_APPLICABLE		High		bare numbered bone, no anatomical/functional content	P81	
l bottom lid	L bottom lid	CLEAR	a left bottom eyelid control	CLEAR	groupFile/Face/Eyes	High		ordinary eyelid mechanism control (rule 12), matches fa_low_lid family	P81	
upper_left_raise	upper_left_raise	OPAQUE	a bare direction+function phrase with no object noun	NOT_APPLICABLE		High		matches direct precedent 'raiseinleft', OPAQUE (bare adjective/direction+verb with no owning object or feature named)	P81	
valvebiped.bip01_r_ring03	ValveBiped.Bip01_R_Ring03	CLEAR	a right ring-finger bone, segment 03	CLEAR	groupFile/Arms/RightArm/RightFingers	High		ordinary individual digit segment, RightFingers verified subpath (rule 10)	P81	
camera.mount_xy	camera.mount_xy	CLEAR	a camera mount/attachment control, XY axis	CLEAR	groupFile/Attachments	Medium		a camera-rig mounting point is an attachment control, not character anatomy; groupFile/Attachments is the Master's dedicated destination for this class	P81	
stockingsheels2	StockingsHeels2	CLEAR	a stockings/heels footwear garment control, numbered	CLEAR	groupFile/Clothing	High		explicit worn footwear/hosiery garment (rule 8)	P81	
fa_low_lid_right_outer	fa_low_lid_right_outer	CLEAR	a right outer lower-eyelid control	CLEAR	groupFile/Face/Eyes	High		matches extensive fa_low_lid sibling family, all CLEAR/CLEAR/Face/Eyes	P81	
bm_lawyerdoor	bm_lawyerdoor	CLEAR	a door prop (generic 'bm_' DCC/prop prefix set aside)	CLEAR	groupFile/Other	High		named furniture/prop object (door), recognized-prop precedent (rule 16); generic prefix carries no destination signal (rule 9)	P81	
bip_r_cloth_b_02	bip_r_cloth_b_02	CLEAR	a right-side cloth garment control, numbered	CLEAR	groupFile/Clothing	High		matches extensive bip_r_cloth sibling family, all CLEAR/CLEAR/Clothing	P81	
pantsvoluptuous	Pantsvoluptuous	CLEAR	a pants-fit 'voluptuous' shape control	CLEAR	groupFile/Clothing	High		object-specific garment fit/shape control stays with the garment's own group (rule 8)	P81	
genitals 03	genitals 03	CLEAR	a bare numbered genitals structural reference	CLEAR	groupFile/Body	High		matches genitals 01/04/06 sibling series, all CLEAR/CLEAR/Body (bare structural reference, no shape word)	P81	
brows-r-neutral	Brows-R-Neutral	CLEAR	a right eyebrow neutral-pose control	CLEAR	groupFile/Face/Upper Face	High		matches extensive brows- sibling family, all CLEAR/CLEAR/Face/Upper Face	P81	
ascot.top_4	Ascot.Top_4	CLEAR	a numbered ascot-top garment control	CLEAR	groupFile/Clothing	High		matches Ascot.Top_2/3/5/9 sibling series, all CLEAR/CLEAR/Clothing	P81	
l03	L03	OPAQUE	a bare side-marker-plus-number with no object named	NOT_APPLICABLE		High		matches bare positional-label-no-owner OPAQUE precedent (e.g. left_17, right_2)	P81	
lindex0	lIndex0+lindex0	CLEAR	a left index-finger bone, segment 0	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		ordinary individual digit segment, LeftFingers verified subpath (rule 10)	P81	
anus-open-m	anus-open-m	CLEAR	an anus-opening shape control, variant M	CLEAR	groupFile/Body Morphs	High		matches majority anus_open_* sibling pattern (anus_open_small, anus_open_right), CLEAR/CLEAR/Body Morphs (rule 7, no skeletal joint)	P81	
facial_bone_lowrlip_l01	Facial_Bone_LowrLip_L01	CLEAR	a left lower-lip facial bone, segment 01	CLEAR	groupFile/Face/Lower Face	High		matches extensive facial_bone_lowrlip sibling family, all CLEAR/CLEAR/Face/Lower Face	P81	
polysurface26	polySurface26	OPAQUE	a DCC-default primitive mesh identifier	NOT_APPLICABLE		High		DCC auto-generated primitive name with no independent semantic evidence (rule 5E / Section 5)	P81	
strap_4_r	strap_4_R	CLEAR	a numbered strap accessory, right side	NEEDS_CONTEXT		High	no owner/garment named	direct sibling strap_4_l, CLEAR/NEEDS_CONTEXT; bare ownerless strap term (rule 25)	P81	
left_browoutv	Left_BrowOutV	CLEAR	a left brow-out-V eyebrow control	CLEAR	groupFile/Face/Upper Face	High		direct sibling right_browoutv, CLEAR/CLEAR/Face/Upper Face	P81	
tailright3_6	TailRight3_6	CLEAR	a numbered right tail segment	CLEAR	groupFile/Tail	High		matches extensive TailRight* sibling series, all CLEAR/CLEAR/Tail	P81	
l_wrist_lower_helper	l_wrist_lower_helper	CLEAR	a left lower-wrist helper control	CLEAR	groupFile/Arms	High		direct sibling r_wrist_lower_helper, CLEAR/CLEAR/Arms; 'helper' naming neutral (rule 4)	P81	
belt_r2	Belt_R2	CLEAR	a numbered right belt garment control	CLEAR	groupFile/Clothing	High		matches belt_r1/r3/bip_belt_r sibling series, all CLEAR/CLEAR/Clothing	P81	
throat-lower-widen	throat-lower-widen	CLEAR	a lower-throat widen shape control	CLEAR	groupFile/Body Morphs	High		matches throat-upper-widen/throat-widen sibling series, all CLEAR/CLEAR/Body Morphs (explicit shape word)	P81	
top.knot_right_3	Top.Knot_Right_3	CLEAR	a right top-knot hair control, numbered	CLEAR	groupFile/Hair	High		matches Top.Knot_Right_2/Left_1/Left_3 sibling series, all CLEAR/CLEAR/Hair	P81	
dummy04	Dummy04	OPAQUE	a generic numbered dummy placeholder object	NOT_APPLICABLE		High		matches Dummy01/03/06/08/09 sibling series, all OPAQUE/NOT_APPLICABLE	P81	
valvebiped.bip02_l_butt	ValveBiped.Bip02_L_Butt	CLEAR	a left buttock control	CLEAR	groupFile/Body	High		matches butt/buttock sibling family (r_butt_left, cc_butt.l, l_butt_left, valvebiped.rightbutt), all CLEAR/CLEAR/Body	P81	
left middle finger 1	Left middle finger 1	CLEAR	a left middle-finger bone, segment 1	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		ordinary individual digit segment, LeftFingers verified subpath (rule 10)	P81	
wep_bullet3	WEP_Bullet3	CLEAR	a numbered weapon bullet/ammunition prop	CLEAR	groupFile/Other	High		matches wep_bullet2/4 sibling series, all CLEAR/CLEAR/Other	P81	
object20	Object20	OPAQUE	a generic numbered placeholder object	NOT_APPLICABLE		High		matches Object22/24/25/27/28 sibling series, all OPAQUE/NOT_APPLICABLE	P81	
l string3 tip sec	l string3 tip sec	CLEAR	a left numbered string accessory, tip section	NEEDS_CONTEXT		Medium	no owner/garment named	bare ownerless decorative accessory term, same kind of object regardless of owner (rule 25)	P81	
box03	Box03	CLEAR	a numbered box prop	CLEAR	groupFile/Other	High		matches Box01/04/06/08 sibling series, all CLEAR/CLEAR/Other	P81	
bow left bcd	bow left bcd	PARTIAL	a 'bow' (decorative bow / archery bow / ship's bow), left side, lettered variant	NEEDS_CONTEXT		High	materially different core readings for 'bow' remain plausible	matches extensive bow-left/right-lettered sibling family, all PARTIAL/NEEDS_CONTEXT (rule 22(b) multi-sense word)	P81	
firingpin	FiringPin	CLEAR	a weapon firing-pin mechanism part	CLEAR	groupFile/Other	High		recognized weapon part (rule 16)	P81	
vase	Vase	CLEAR	a vase prop	CLEAR	groupFile/Other	High		matches Vase.001/Vase.002 sibling series, all CLEAR/CLEAR/Other	P81	
valvebiped.bip01_l_ear0	ValveBiped.Bip01_L_Ear0	CLEAR	a left ear bone, base index	CLEAR	groupFile/Face/Ears	High		matches ValveBiped.Bip01_L_Ear01/02/03 sibling series, all CLEAR/CLEAR/Face/Ears	P81	
middlebulgeoutfull	MiddleBulgeOutFull	CLEAR	a middle-bulge-out shape effect, full variant	NEEDS_CONTEXT		Medium	owner of 'middle' bulge not established	direct sibling middlebulgeout, CLEAR/NEEDS_CONTEXT (bulge shape effect, owner region unresolved)	P81	
