fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id	canonical_position
gag_l_01	Gag_L_01	CLEAR	a mouth-gag restraint object, left, variant 01	CLEAR	groupFile/Clothing	Medium		worn/equipped restraint accessory	P02	617
c ulipout	C Ulipout	CLEAR	center upper lip, outward direction	CLEAR	groupFile/Face/Lower Face	Medium		"lip is spelled out in full; ""U""=upper and ""C""=center read from the surrounding lip-series convention"	P02	618
phalangesleft	PhalangesLeft	PARTIAL	phalanges (finger or toe bones), left, no further qualifier	NEEDS_CONTEXT		Low	ambiguous between finger phalanges and toe phalanges with no hand/foot qualifier present	body-part word with no established referent between two competing readings	P02	619
c ujacketa b phy	C uJacketA b Phy	CLEAR	center upper jacket, variant A/b, physics-simulated	CLEAR	groupFile/Clothing	High		matches the established L/R/C ...A/B/C a Phy clothing physics-sim naming pattern	P02	620
wep_boltcharger_2	WEP_BoltCharger_2	CLEAR	weapon bolt-charger part, variant 2	CLEAR	groupFile/Other	High		recognized weapon part	P02	621
bikini nipple movement r	Bikini Nipple Movement R	CLEAR	nipple movement, right, in the context of a bikini	CLEAR	groupFile/Body Morphs	High		soft-tissue movement/state control; bikini is only the triggering context (rule 8)	P02	622
lid_2	lid_2	PARTIAL	"a ""lid"", numbered, no anchor"	NEEDS_CONTEXT		Low	materially different core readings: eyelid / container-lid prop	bare ambiguous object noun, no owner	P02	623
opt_acs_earringl5	OPT_acs_earringl5	CLEAR	earring, left, index 5	CLEAR	groupFile/Clothing	High		"""earring"" is explicit content in the literal grounding the referent regardless of the ""acs"" prefix"	P02	624
valvebiped.bip01_r_testicle01	ValveBiped.Bip01_R_Testicle01	CLEAR	testicle (structural anatomy), right, numbered	CLEAR	groupFile/Body	High		plain structural genital anatomy, matches Cock.Shaft_4_Skin precedent	P02	625
bip thightwistbottom r	bip thightwistbottom r	CLEAR	right thigh twist bone, bottom	CLEAR	groupFile/Legs	High		ordinary twist bone, not corrective by itself (rule 3)	P02	626
thumb_left_2	thumb_left_2	CLEAR	left thumb, segment 2	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger digit, verified LeftFingers subpath	P02	627
left_small_labia4	Left_Small_Labia4	CLEAR	"labia, left, ""small"" size, variant 4"	CLEAR	groupFile/Body Morphs	High		explicit size descriptor on genital soft tissue (rule 7)	P02	628
loincloth_front_4	Loincloth_front_4	CLEAR	loincloth garment, front, variant 4	CLEAR	groupFile/Clothing	High		worn garment	P02	629
eye-l-furrow	Eye-L-Furrow	CLEAR	eye-region furrow (brow/eye wrinkle), left	CLEAR	groupFile/Face/Eyes	High		ordinary eye-region expression control	P02	630
hatcloth_bone_02	hatCloth_bone_02	CLEAR	hat-cloth bone, segment 02	CLEAR	groupFile/Clothing	High		hat garment control	P02	631
top_4	Top_4	PARTIAL	"a ""top"", numbered, no anchor"	NEEDS_CONTEXT		Low	"the bare word ""top"" is used across materially different senses in this Master (hair, lip, clothing-top, body/muscle) with no dominant reading"	bare ambiguous object/position noun, no owner	P02	632
shorthair_bone_12	shortHair_bone_12	CLEAR	short-hair bone, segment 12	CLEAR	groupFile/Hair	High		ordinary hair control	P02	633
cockskinback	CockSkinBack	CLEAR	penis skin, back (structural)	CLEAR	groupFile/Body	Medium		plain structural genital-skin control, positional word only, no shape/state term (rule 6)	P02	634
wep_fx_muzzle6	WEP_FX_Muzzle6	CLEAR	weapon muzzle FX, variant 6	CLEAR	groupFile/Other	High		recognized weapon part	P02	635
wep_foregrip_nojiggle_child1	WEP_Foregrip_NoJiggle_Child1	CLEAR	weapon foregrip part, no-jiggle variant, child 1	CLEAR	groupFile/Other	High		recognized weapon part	P02	636
eye shine move down	Eye shine move down	CLEAR	eye-shine (specular highlight) control, downward	CLEAR	groupFile/Face/Eyes	High		ordinary eye-region control	P02	637
earleft4	EarLeft4	CLEAR	left ear, segment 4	CLEAR	groupFile/Face/Ears	High		ordinary ear anatomy	P02	638
bobcut.back_2	Bobcut.Back_2	CLEAR	bob-cut hairstyle, back, segment 2	CLEAR	groupFile/Hair	High		named hairstyle control	P02	639
pillow 2	Pillow 2	CLEAR	a pillow, variant 2	CLEAR	groupFile/Other	High		recognized furniture prop (rule 16 explicit example)	P02	640
shape-athletic-cleavage	shape-athletic-cleavage	CLEAR	athletic-shape cleavage appearance	CLEAR	groupFile/Body Morphs	High		explicit shape/appearance descriptor on the body	P02	641
flareshide	flaresHide	CLEAR	garment flare (flared trouser/skirt element), visibility-hide toggle	CLEAR	groupFile/Clothing	Medium		garment-element visibility control	P02	642
strecthlips	StrecthLips	CLEAR	lip stretch expression	CLEAR	groupFile/Face/Lower Face	High	"""Strecth"" read as ""Stretch"""	ordinary lip expression control	P02	643
bip_stoolclothback_1_r	bip_StoolClothBack_1_R	CLEAR	stool cloth covering, back, right, variant 1	CLEAR	groupFile/Other	Medium		furniture-owned cloth component, not a worn garment (rule 16)	P02	644
bip elbowhelper r	bip elbowhelper r	CLEAR	right elbow helper bone	CLEAR	groupFile/Arms	High		"ordinary elbow anatomy; ""helper"" not corrective by itself (rule 4)"	P02	645
belthat_bone_l_04	beltHat_bone_l_04	PARTIAL	"a ""belt hat"" bone, left, segment 04"	NEEDS_CONTEXT		Low	"""belt hat"" is an unresolved relation between tokens that does not parse as an ordinary phrase (rule 22 explicit example)"	unresolved token relation	P02	646
bip_l_foot_ring_02	bip_l_foot_ring_02	PARTIAL	"a foot ""ring"", left, segment 02"	NEEDS_CONTEXT		Low	ambiguous between a toe-ring jewelry accessory and a rig/IK ring-shaped control	materially different core readings	P02	647
bone 1030	bone 1030	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P02	648
plate	Plate	PARTIAL	"a ""plate"", no anchor"	NEEDS_CONTEXT		Low	materially different core readings: armor plate / dinnerware / structural plate (rule 22 explicit example)	bare ambiguous object noun, no owner	P02	649
key.black_21	Key.Black_21	CLEAR	numbered slot in the coherent Key.Black keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.Black_N series (rule 23)	P02	650
cornerlowerl+cornerlowerr	CornerLowerL+CornerLowerR	CLEAR	lower mouth-corner control, left+right combined	CLEAR	groupFile/Face/Lower Face	Medium		standard mouth-corner facial rig terminology	P02	651
bigteethsmile	BigTeethSmile	CLEAR	big-teeth smile expression	CLEAR	groupFile/Face/Lower Face	High		teeth/mouth expression control	P02	652
face-kiss	Face-Kiss	CLEAR	kiss facial expression	CLEAR	groupFile/Face/Expressions	High		whole-face expression state	P02	653
teethupup	TeethUpUp	CLEAR	teeth moving up	CLEAR	groupFile/Face/Lower Face	Medium	"doubled ""up"" likely a naming artifact"	teeth/mouth region control	P02	654
arm left finger	arm left finger	CLEAR	left finger, no digit specified	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		explicit left finger, verified LeftFingers subpath	P02	655
youwhat	YouWhat	OPAQUE	nonsensical phrase, no interpretable content	NOT_APPLICABLE		Low		no reliable core semantic referent	P02	656
shevabody	ShevaBody	CLEAR	"body (""Sheva"" character-name prefix)"	CLEAR	groupFile/Body	Medium		bare structural body reference; character-name prefix ignored (rule 24)	P02	657
vacuum	vacuum	CLEAR	a vacuum cleaner	CLEAR	groupFile/Other	Medium		recognized household object/prop	P02	658
pantiesbulges	PantiesBulgeS	CLEAR	panties garment bulge feature	CLEAR	groupFile/Clothing	Medium		garment named first, feature word after (rule 8, PantsAnalOpen pattern)	P02	659
rbrow1	rBrow1	CLEAR	right eyebrow, segment 1	CLEAR	groupFile/Face/Upper Face	High		ordinary eyebrow anatomy	P02	660
fake_pellvis	fake_pellvis	CLEAR	a secondary/proxy pelvis bone	CLEAR	groupFile/Body	Medium	"""pellvis"" read as ""pelvis"""	"plain structural anatomy; ""fake"" indicates a secondary/proxy bone, not a corrective purpose"	P02	661
feather 5b	feather 5b	CLEAR	a feather, variant 5b, no owner stated	NEEDS_CONTEXT		Low	"the Master itself splits ""feather"" across Wings/Clothing/Other with no dominant destination for a bare instance"	ownership not established	P02	662
feather 3a	feather 3a	CLEAR	a feather, variant 3a, no owner stated	NEEDS_CONTEXT		Low	"the Master itself splits ""feather"" across Wings/Clothing/Other with no dominant destination for a bare instance"	ownership not established	P02	663
unused.038	unused.038	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P02	664
unused head neck lower attached_ssx h #2 head neck lower a.003	unused head neck lower attached_ssx h #2 head neck lower a.003	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P02	665
strap_back	strap_back	CLEAR	strap accessory, back position, no owner	NEEDS_CONTEXT		Medium		strap names its theme, not its mount/owner (rule 25)	P02	666
50	50	OPAQUE	bare number, no words at all	NOT_APPLICABLE		Low	a number alone carries no semantic content	no interpretable content	P02	667
r_eyeball_loc	R_Eyeball_Loc	CLEAR	right eyeball location control	CLEAR	groupFile/Face/Eyes	High		ordinary eye anatomy	P02	668
r_rear_holster_0u_5v	r_rear_holster_0u_5v	CLEAR	holster, right, rear	CLEAR	groupFile/Clothing	High		worn-equipment holster default (rule 16)	P02	669
belt back right b	belt back right b	CLEAR	belt garment, back, right, variant b	CLEAR	groupFile/Clothing	High		worn garment	P02	670
leg right boot tassle 3b	leg right boot tassle 3b	CLEAR	boot tassel, right leg, variant 3b	CLEAR	groupFile/Clothing	High		explicit garment owner (boot) named (rule 25)	P02	671
tailwing_01	tailwing_01	PARTIAL	"a ""tail-wing"" compound structure, segment 01"	NEEDS_CONTEXT		Low	no Master precedent for this compound; materially different core readings between tail-region and wing-region ownership	unresolved compound, no precedent	P02	672
fin-rig-hat-hood-r	Fin-Rig-Hat-Hood-R	CLEAR	"hooded hat garment, right (""Fin-Rig"" read as prefix)"	CLEAR	groupFile/Clothing	Medium		hat/hood is explicit grounded garment content despite the prefix	P02	673
bip01-l-upperarm001	Bip01-L-UpperArm001	CLEAR	left upper arm, numbered sub-bone 001	CLEAR	groupFile/Arms	High		ordinary arm anatomy	P02	674
cloth_collar_1_l	cloth_collar_1_L	CLEAR	cloth collar, variant 1, left	CLEAR	groupFile/Clothing	High		"explicit ""cloth_"" prefix identifies a garment collar, distinct from the bare anatomical bip_collar convention"	P02	675
bipfio l foretwist1	BipFio L ForeTwist1	CLEAR	"left forearm twist, variant 1 (""Fio"" character/model prefix)"	CLEAR	groupFile/Arms	High		ordinary twist bone; prefix ignored (rule 24)	P02	676
bone 1067	bone 1067	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P02	677
def-foot.001.02.r	DEF-foot.001.02.R	CLEAR	right foot, numbered	CLEAR	groupFile/Legs	High		ordinary foot anatomy; DEF- is a generic deform-rig prefix (rule 9/17)	P02	678
bone 1083	bone 1083	OPAQUE	generic numbered bone, no functional/regional word	NOT_APPLICABLE		Low		generic numbered technical bone	P02	679
face weird 2	Face Weird 2	CLEAR	odd/weird facial expression, variant 2	CLEAR	groupFile/Face/Expressions	Medium		whole-face expression state	P02	680
bip01_r_thigh007	Bip01_R_Thigh007	CLEAR	right thigh, numbered sub-bone 007	CLEAR	groupFile/Legs	High		plain structural anatomy, numbering not corrective (rule 2)	P02	681
valvebiped.bip01_vag_r_0	ValveBiped.Bip01_Vag_R_0	CLEAR	vaginal anatomy (structural), right, segment 0	CLEAR	groupFile/Body	High		plain structural genital anatomy, matches ValveBiped.Bip01_Vag_L_2 precedent	P02	682
bip_woolpelvis_2_l	bip_WoolPelvis_2_L	CLEAR	wool pelvis-covering garment, left, variant 2	CLEAR	groupFile/Clothing	Medium		fabric-named garment covering the pelvis area	P02	683
carpal_0_r	carpal_0_R	CLEAR	carpal bone, right, segment 0	CLEAR	groupFile/Arms/RightArm/RightCarpals	High		explicit right carpal, verified RightCarpals subpath	P02	684
hidewaist	HideWaist	CLEAR	waist visibility-hide toggle	CLEAR	groupFile/Body	Medium		function (hide) applied to a named body region; body region is the direct subject	P02	685
key.black_39	Key.Black_39	CLEAR	numbered slot in the coherent Key.Black keyboard-prop series	CLEAR	groupFile/Other	High		confirmed coherent Key.Black_N series (rule 23)	P02	686
lower left tears r	Lower left tears R	CLEAR	tear/crying effect, eye region	CLEAR	groupFile/Face/Eyes	Medium	"literal carries both ""left"" and ""R"" side markers; side reading is unresolved but the tears/eye referent is not"	tear-duct/crying facial effect	P02	687
c_tiel_c06	C_TieL_C06	CLEAR	necktie garment, variant C06	CLEAR	groupFile/Clothing	Medium	"""TieL"" read as ""Tie,"" left, though a proper-noun reading cannot be fully excluded"	garment necktie control	P02	688
higher left	Higher Left	OPAQUE	pure positional phrase, no object/function named	NOT_APPLICABLE		Low		positional label with no object/function	P02	689
cock-fat	cock-fat	CLEAR	"penis, ""fat"" shape/size descriptor"	CLEAR	groupFile/Body Morphs	High		explicit shape/size descriptor on genital soft tissue (rule 7)	P02	690
x_shift_1	x_shift_1	CLEAR	a positional shift along the X axis, variant 1 (object unstated)	NEEDS_CONTEXT		Low		generic shift function is clear; owning object is not named	P02	691
book turnpage10	Book TurnPage10	CLEAR	a book, turn-page function, variant 10	CLEAR	groupFile/Other	High		recognized prop (rule 16 explicit example)	P02	692
scope_pos_00	Scope_Pos_00	CLEAR	weapon scope position control, variant 00	CLEAR	groupFile/Other	High		recognized weapon part	P02	693
eye_top_open	Eye_Top_Open	CLEAR	top eyelid open control	CLEAR	groupFile/Face/Eyes	High		ordinary eye anatomy	P02	694
upperworried.l	upperworried.l	CLEAR	worried expression, upper face, left	CLEAR	groupFile/Face/Upper Face	Medium		brow-driven expression, upper-face region	P02	695
bobcut.side_right_1_3	Bobcut.Side_Right_1_3	CLEAR	bob-cut hairstyle, side right, segment 1_3	CLEAR	groupFile/Hair	High		named hairstyle control	P02	696
earleft7	EarLeft7	CLEAR	left ear, segment 7	CLEAR	groupFile/Face/Ears	High		ordinary ear anatomy	P02	697
car08	car08	CLEAR	a car, variant 08	CLEAR	groupFile/Other	High		recognized vehicle prop (rule 16)	P02	698
unused b_r_legohelper	unused b_r_legohelper	CLEAR	self-declared unused placeholder	CLEAR	groupFile/Useless	High		self-declared unused marker (rule 15)	P02	699
eye bedroom r	Eye Bedroom R	CLEAR	"""bedroom eyes"" seductive expression, right"	CLEAR	groupFile/Face/Eyes	High		ordinary named eye expression	P02	700
