fold_key	exact_spellings	semantic_status	semantic_referent	taxonomy_status	proposed_destination	confidence	uncertainty_reason	short_reason	batch_id
valvebiped.bip01_tail02	ValveBiped.Bip01_Tail02	CLEAR	tail anatomy, numbered	CLEAR	groupFile/Tail	High		plain tail anatomy	P17
valvebiped.polysurface2	ValveBiped.polySurface2	OPAQUE	a generic mesh-name artifact, no anatomical content	NOT_APPLICABLE		Low		technical mesh-name artifact	P17
tooth_2	tooth_2	CLEAR	tooth anatomy, numbered	CLEAR	groupFile/Face/Lower Face	High		mouth-region hard anatomy	P17
forehead_middle	forehead_middle	CLEAR	forehead anatomy, middle	CLEAR	groupFile/Face/Upper Face	High		plain forehead anatomy	P17
l brooch a phy	l brooch a phy	CLEAR	a brooch accessory, physics-sim, left, variant	CLEAR	groupFile/Clothing	High		"explicit ""brooch"" jewelry/accessory"	P17
bone.002	Bone.002	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P17
crow_2.ulna_r	Crow_2.Ulna_R	CLEAR	a companion crow creature-prop's ulna bone, right	CLEAR	groupFile/Other	Medium		creature-prop bone anatomy, not the main character's own anatomy (matches Crow_1.Body precedent)	P17
hand finger right 2c	hand finger right 2c	CLEAR	index finger, right hand, variant c	CLEAR	groupFile/Arms/RightArm/RightFingers	High		plain finger anatomy	P17
l beltb spo	L BeltB Spo	CLEAR	"belt garment, left, variant B; ""spo"" suffix does not override the explicit garment owner"	CLEAR	groupFile/Clothing	High		"explicit named garment; ""spo"" does not override the owner (matches l hip spo precedent)"	P17
rightnutscale02	RightNutScale02	CLEAR	testicle scale/size morph, right, numbered	CLEAR	groupFile/Body Morphs	High		explicit size/scale deformation word	P17
sweat drop br	Sweat drop bR	CLEAR	a sweat-drop effect element, position variant	CLEAR	groupFile/Other	Medium		discrete visual-effect object, not a body-deformation/expression control	P17
r eyebag a	R Eyebag A	CLEAR	under-eye bag anatomy/appearance, right, variant a	CLEAR	groupFile/Face/Eyes	Medium		eye-region anatomy	P17
pupils-neutralalt-r	Pupils-NeutralAlt-R	CLEAR	pupil control, neutral-alt variant, right	CLEAR	groupFile/Face/Eyes	High		plain eye-region control, matches Pupils-* precedent	P17
wep_bullet1_shell	WEP_Bullet1_Shell	CLEAR	a bullet-shell/casing prop	CLEAR	groupFile/Other	High		plain weapon-ammunition prop	P17
third_arms_l_ring2	Third_Arms_L_Ring2	CLEAR	"ring finger of a ""third"" (extra) left arm, numbered"	CLEAR	groupFile/Arms/LeftArm/LeftFingers	Medium		extra-limb finger anatomy; limb count does not change destination (rule 19)	P17
l_fin_mid_b	l_fin_mid_b	CLEAR	a creature fin, left, middle, variant b	NEEDS_CONTEXT		Low	fin anatomy is clear but no established Master destination convention for fins is known	anatomy clear, destination convention unestablished	P17
car01_controller	Car01_controller	CLEAR	a car (vehicle) prop controller	CLEAR	groupFile/Other	High		plain environment/vehicle prop	P17
key.black_23	Key.Black_23	CLEAR	a piano/keyboard-key prop, black key 23	CLEAR	groupFile/Other	Medium		matches the coherent Key.<label> period-separated prop series	P17
polysurface139	polySurface139	OPAQUE	a generic mesh-name artifact, no anatomical content	NOT_APPLICABLE		Low		technical mesh-name artifact	P17
tenta_9_l	tenta_9_L	CLEAR	tentacle anatomy (creature appendage), left, numbered	NEEDS_CONTEXT		Low	tentacle anatomy is clear but no established Master destination convention for tentacles is known	anatomy clear, destination convention unestablished	P17
bulge small	Bulge small	CLEAR	"a ""bulge"" shape morph, small variant, location unspecified"	CLEAR	groupFile/Body Morphs	Medium		bulge is inherently a shape/deformation concept; Body Morphs is a single flat destination not requiring a specific location	P17
back.bow_left_2	Back.Bow_Left_2	PARTIAL	"a ""bow"" object, back-worn, left, numbered; decorative bow / archery bow compete even with the location named"	NEEDS_CONTEXT		Low	"""back"" names a location but does not resolve which sense of ""bow"" is meant (rule 25)"	multi-sense ambiguity persists despite location	P17
r_outer_raise	r_outer_raise	CLEAR	"an ""outer"" raising function, right, target object unstated"	NEEDS_CONTEXT		Low	"raise function is recognizable but ""outer"" does not specify a body part"	function recognizable, object unnamed	P17
head eyecorner rightb	head eyecorner rightb	CLEAR	eye-corner anatomy, right, variant b	CLEAR	groupFile/Face/Eyes	High		plain eye-region anatomy	P17
r_holster_hook2	r_holster_hook2	CLEAR	holster hook mechanism, right, numbered	CLEAR	groupFile/Clothing	High		worn equipment defaults to Clothing absent explicit weapon/prop-assembly ownership (rule 16)	P17
legmiddlefinger2_l	LegMiddleFinger2_L	PARTIAL	"an odd compound naming both ""Leg"" and ""MiddleFinger2"", left; the actual target body part is unclear"	NEEDS_CONTEXT		Low	"the literal names two different, seemingly contradictory body parts (""Leg"" and ""Finger"") with no way to resolve which is the actual target"	contradictory body-part tokens in one literal	P17
apron b2	Apron b2	CLEAR	apron garment, variant	CLEAR	groupFile/Clothing	High		explicit named garment	P17
pelvis lower	pelvis lower	CLEAR	pelvis anatomy, lower part	CLEAR	groupFile/Body	High		plain torso/pelvis anatomy	P17
kargathbladefist_bone34	kargathbladefist_Bone34	OPAQUE	a generic numbered bone under a named-character prefix; no anatomical content in the number itself	NOT_APPLICABLE		Low		character/model prefix is not itself semantic ownership (rule 24); bare numbered bone carries no anatomical specificity	P17
bone085	Bone085	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P17
box_face_10_m	Box_Face_10_M	PARTIAL	"ambiguous between an actual facial control and a technical ""box"" placeholder object, variant 10, M"	NEEDS_CONTEXT		Low	"""Box"" prefix leaves object type genuinely unresolved"	competing readings: facial control vs placeholder box object	P17
hand finger left 2c	hand finger left 2c	CLEAR	index finger, left hand, variant c	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		plain finger anatomy	P17
car03_controller01	Car03_controller01	CLEAR	a car (vehicle) prop controller, numbered	CLEAR	groupFile/Other	High		plain environment/vehicle prop	P17
index finger	Index finger	CLEAR	index finger, unsided	CLEAR	groupFile/Fingers	Medium		plain unsided finger anatomy; side-neutral Fingers destination (rule 11)	P17
band.stretch_left	Band.Stretch_Left	CLEAR	a band object, stretch, left, owner unnamed	NEEDS_CONTEXT		Medium	a band is the same object regardless of owner; ownership alone is missing	matches the settled Band.Bend_Right_1 rule-25 precedent	P17
lower lid	lower lid	CLEAR	lower eyelid	CLEAR	groupFile/Face/Eyes	Medium		"""lower lid"" matches the established upper/lower-eyelid naming idiom"	P17
eyes-blink-happy	eyes-blink-happy	CLEAR	eye blink expression, happy variant	CLEAR	groupFile/Face/Eyes	High		plain eye expression	P17
def-thigh.02.l	DEF-thigh.02.L	CLEAR	thigh anatomy, left, numbered, deform-bone marker	CLEAR	groupFile/Legs	High		"plain thigh anatomy; ""DEF-"" is a technical deform-bone marker, not corrective evidence"	P17
wolffit	WolfFit	CLEAR	a wolf costume/creature-suit, fit variant	CLEAR	groupFile/Clothing	Medium		costume garment, fit variant	P17
r_butt_butt	R_Butt_Butt	CLEAR	buttock anatomy, right	CLEAR	groupFile/Body	High		structurally named buttock anatomy	P17
shell.wall_22	Shell.Wall_22	OPAQUE	"ambiguous compound (""shell"" + ""wall""); could be armor, a creature shell, or an environment structure, with nothing anchoring it to the character"	NOT_APPLICABLE		Low		no single reliable referent among several unrelated possible readings	P17
wep_fx_light1_m16	WEP_FX_Light1_M16	CLEAR	M16 rifle muzzle-flash/light effect	CLEAR	groupFile/Other	High		plain weapon-effect control	P17
bone_ra2	bone_RA2	OPAQUE	cryptic bone code, no grounding for any expansion	NOT_APPLICABLE		Low		ungrounded code	P17
neck_0	neck_0	CLEAR	neck anatomy, numbered	CLEAR	groupFile/Body	High		plain torso/neck anatomy	P17
crow_2.phalanges2_l	Crow_2.Phalanges2_L	CLEAR	a companion crow creature-prop's phalanges bone, left	CLEAR	groupFile/Other	Medium		creature-prop bone anatomy, not the main character's own anatomy (matches Crow_1.Body precedent)	P17
hip_bone_correct_r_01	hip_bone_correct_r_01	CLEAR	a hip-bone deformation correction control, right, numbered	CLEAR	groupFile/Correctives	High		"explicit ""correct"" repair-purpose language overrides the ordinary hip/pelvis default (rule 5 / Rule 26 override)"	P17
frily_30.l	Frily_30.L	CLEAR	a decorative frill garment trim, numbered, left	CLEAR	groupFile/Clothing	Medium		frill is a garment-trim decoration	P17
bone14	Bone14	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P17
groove	Groove+groove	OPAQUE	"a ""groove"" object with no established character-relevant meaning"	NOT_APPLICABLE		Low		ungrounded technical term, no anatomical or clothing anchor	P17
cape 1d	Cape 1d	CLEAR	cape garment, variant	CLEAR	groupFile/Clothing	High		explicit named garment	P17
scale_x_down	scale_x_down	OPAQUE	a technical scale-axis parameter, down direction, no anatomical object named	NOT_APPLICABLE		Low		technical parameter, no anatomical content	P17
suck-duckface-lipsstretchl+suck-duckface-lipsstretchr	Suck-DuckFace-LipsStretchL+Suck-DuckFace-LipsStretchR	CLEAR	"""duck face"" mouth expression (lips stretch), combined left+right"	CLEAR	groupFile/Face/Lower Face	High		plain mouth-region expression	P17
pussyup	PussyUp	CLEAR	"genital anatomy, ""up"" direction/state"	CLEAR	groupFile/Body Morphs	Medium		directional state word on genital anatomy, consistent with this session's other genital+direction Body Morphs rows	P17
wep_shell6	WEP_Shell6	CLEAR	a bullet-shell/casing prop, numbered	CLEAR	groupFile/Other	High		plain weapon-ammunition prop	P17
canine_rear01	Canine_REar01	PARTIAL	"a canine creature part; the token ""REar"" could parse as ""R(ight) Ear"" or ""Rear"" (buttock/back), which are materially different readings"	NEEDS_CONTEXT		Low	the literal genuinely supports two different anatomical readings (ear vs. rear) with no way to choose between them	genuine parse ambiguity between ear and rear, matches Canine_REar02 precedent	P17
rupperlid	rUpperLid	CLEAR	upper eyelid, right	CLEAR	groupFile/Face/Eyes	High		plain eyelid anatomy	P17
pjcmabdomenupperfwdnavel	pJCMAbdomenUpperFwdNavel	CLEAR	a joint-corrective morph (JCM) for the upper abdomen/navel	CLEAR	groupFile/Correctives	High		explicit JCM corrective-morph naming convention	P17
rtoemid01	rToeMid01	CLEAR	middle toe, right, numbered	CLEAR	groupFile/Toes/RightToes	High		plain toe anatomy	P17
bone171	Bone171	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P17
bipflm l finger4	BipFlm L Finger4	CLEAR	ring finger, left, under a character prefix	CLEAR	groupFile/Arms/LeftArm/LeftFingers	High		plain finger anatomy	P17
shell.wall_30	Shell.Wall_30	OPAQUE	"ambiguous compound (""shell"" + ""wall""); could be armor, a creature shell, or an environment structure, with nothing anchoring it to the character"	NOT_APPLICABLE		Low		no single reliable referent among several unrelated possible readings	P17
bikini top side	Bikini Top Side	CLEAR	bikini garment, top, side	CLEAR	groupFile/Clothing	High		explicit named garment	P17
right_puckerlipup	Right_PuckerLipUp	CLEAR	lip pucker, upper, right	CLEAR	groupFile/Face/Lower Face	High		plain mouth-region expression	P17
flm-arma-sworda-bl	Flm-ArmA-SwordA-BL	CLEAR	a sword weapon prop, under the Flm-ArmA rig namespace	CLEAR	groupFile/Other	Medium		"""Sword"" is the dominant named object regardless of the internal ""ArmA"" namespace label"	P17
bone055	Bone055	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P17
taurenleftfoot	taurenLeftFoot	CLEAR	a Tauren creature's left foot	CLEAR	groupFile/Legs	Medium		"""foot"" is explicit, independently-grounded anatomical content despite the creature-name prefix (rule 24)"	P17
balls_01	Balls_01	CLEAR	testicle anatomy, numbered	CLEAR	groupFile/Body	High		structurally named genital anatomy	P17
arm right fist	arm right fist	CLEAR	a fist (closed-hand) pose control, right arm	CLEAR	groupFile/Arms/RightArm	High		plain hand-pose control	P17
chin_2	chin_2	CLEAR	chin anatomy, numbered	CLEAR	groupFile/Face/Lower Face	High		plain chin anatomy	P17
strap b 1	strap b 1	CLEAR	a strap object, variant b, numbered, owner unnamed	NEEDS_CONTEXT		Medium	a strap is the same object regardless of owner; ownership alone is missing	matches settled Strap_B.02-style rule-25 precedent	P17
valvebiped.bip01_vag_l_1	ValveBiped.Bip01_Vag_L_1	CLEAR	vaginal anatomy, left, numbered	CLEAR	groupFile/Body	High		matches the settled ValveBiped.Bip01_Vag_L_2 -> Body precedent	P17
v_weapon.root18	v_weapon.Root18	CLEAR	viewmodel weapon root bone, numbered	CLEAR	groupFile/Other	High		plain weapon-prop root bone	P17
bone 1090	bone 1090	OPAQUE	generic numbered bone, no anatomical content	NOT_APPLICABLE		Low		bare numbered bone label	P17
cock.shaft_2	Cock.Shaft_2	CLEAR	penis shaft anatomy, numbered	CLEAR	groupFile/Body	High		matches the settled Cock.Shaft_4_Skin -> Body precedent	P17
lock_clasp1	Lock_Clasp1	CLEAR	a lock/clasp fastener, numbered	CLEAR	groupFile/Clothing	Medium		worn/garment fastener defaults to Clothing	P17
eye right disappointed	eye Right Disappointed	CLEAR	eye expression, disappointed, right	CLEAR	groupFile/Face/Eyes	High		plain eye expression	P17
left_u_vag_2	left_u_vag_2	CLEAR	vaginal anatomy, upper, left, numbered	CLEAR	groupFile/Body	High		structurally named genital anatomy	P17
bikini_05	Bikini_05	CLEAR	bikini garment, numbered	CLEAR	groupFile/Clothing	High		explicit named garment	P17
l2	L2+l2	OPAQUE	a bare side-marker-plus-number code, no object named	NOT_APPLICABLE		Low		side marker alone, no object	P17
tenta_8_r	tenta_8_R	CLEAR	tentacle anatomy (creature appendage), right, numbered	NEEDS_CONTEXT		Low	tentacle anatomy is clear but no established Master destination convention for tentacles is known	anatomy clear, destination convention unestablished	P17
chain_8	chain_8	PARTIAL	"a ""chain"" object, numbered"	NEEDS_CONTEXT		Low	"""chain"" is recognizable but its kind (jewelry vs. rig/physics chain) is unresolved"	recognizable object, kind unresolved	P17
cj_micro1	cj_micro1	OPAQUE	cryptic fragment, numbered, no recoverable anatomical content	NOT_APPLICABLE		Low		no recoverable referent	P17
village	village	CLEAR	a village environment prop/set element	CLEAR	groupFile/Other	High		plain environment prop, unrelated to character anatomy	P17
erovaginal	EroVaginaL	CLEAR	"vaginal anatomy reference (""erotic vaginal"")"	CLEAR	groupFile/Body	Medium		structurally named genital anatomy	P17
bip01 hand.l	Bip01 Hand.L	CLEAR	hand anatomy, left	CLEAR	groupFile/Arms/LeftArm	High		plain hand anatomy	P17
bags_leg	Bags_Leg	PARTIAL	"a ""bags"" object associated with the leg; the object's exact nature is unclear"	NEEDS_CONTEXT		Low	"""leg"" suggests location but ""bags"" object type/purpose is unresolved"	ambiguous compound	P17
grit left	grit left	CLEAR	a teeth-gritting jaw expression, left	CLEAR	groupFile/Face/Lower Face	Medium		plain jaw/mouth-region expression	P17
nostrils_disgust_l	nostrils_disgust_l	CLEAR	nostril disgust expression, left	CLEAR	groupFile/Face/Mid Face	High		plain nose-region expression	P17
