fold_key	exact_spellings	old_path	new_path	decision	provenance	short_reason
arm09_0	arm09_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm09_1	arm09_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm09_2	arm09_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm10_0	arm10_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm10_1	arm10_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm10_2	arm10_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm11_0	arm11_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm11_1	arm11_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm11_2	arm11_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm12_0	arm12_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm12_1	arm12_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm12_2	arm12_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm13_0	arm13_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm13_1	arm13_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm13_2	arm13_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm14_0	arm14_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm14_1	arm14_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm14_2	arm14_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm15_0	arm15_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm15_1	arm15_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm15_2	arm15_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm16_0	arm16_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm16_1	arm16_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm16_2	arm16_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm17_0	arm17_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm17_1	arm17_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm17_2	arm17_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm18_0	arm18_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm18_1	arm18_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm18_2	arm18_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm19_0	arm19_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm19_1	arm19_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm19_2	arm19_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm20_0	arm20_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm20_1	arm20_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm20_2	arm20_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm21_0	arm21_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm21_1	arm21_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm21_2	arm21_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm22_0	arm22_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm22_1	arm22_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm22_2	arm22_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm23_0	arm23_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm23_1	arm23_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm23_2	arm23_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm24_0	arm24_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm24_1	arm24_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm24_2	arm24_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm25_0	arm25_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm25_1	arm25_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm25_2	arm25_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm26_0	arm26_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm26_1	arm26_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm26_2	arm26_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm27_0	arm27_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm27_1	arm27_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm27_2	arm27_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm28_0	arm28_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm28_1	arm28_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm28_2	arm28_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm29_0	arm29_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm29_1	arm29_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm29_2	arm29_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm30_0	arm30_0	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm30_1	arm30_1	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm30_2	arm30_2	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_00	arm_01_00	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_01	arm_01_01	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_02	arm_01_02	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_03	arm_01_03	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_04	arm_01_04	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_05	arm_01_05	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_06	arm_01_06	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_07	arm_01_07	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_08	arm_01_08	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_09	arm_01_09	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_10	arm_01_10	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_11	arm_01_11	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_12	arm_01_12	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_13	arm_01_13	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_14	arm_01_14	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_15	arm_01_15	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_16	arm_01_16	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_17	arm_01_17	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_18	arm_01_18	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_19	arm_01_19	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_01_20	arm_01_20	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_00	arm_02_00	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_01	arm_02_01	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_02	arm_02_02	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_03	arm_02_03	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_04	arm_02_04	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_05	arm_02_05	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_06	arm_02_06	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_07	arm_02_07	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_08	arm_02_08	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_09	arm_02_09	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_10	arm_02_10	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_11	arm_02_11	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_12	arm_02_12	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_13	arm_02_13	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_14	arm_02_14	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_15	arm_02_15	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_16	arm_02_16	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_17	arm_02_17	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_18	arm_02_18	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_19	arm_02_19	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
arm_02_20	arm_02_20	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
b_ar_root	b_AR_Root	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
bip_collart	bip_CollarT	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
bip_forearm_helper	bip_Forearm_helper	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
bip_hand	bip_hand	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
bip_hlp_el	bip_hlp_el	groupFile/Arms	groupFile/Arms	REMAINED_UNSIDED	PRE_PHASE2_EXISTING	genuinely unsided or no reliable side marker found
